PMID,Child Concept,Relationship,Parent Concept,Most Similar Concept
36946262,Desires and Intentions,is-a,Psychological factor,psychological factor
21474174,Non-Communicable Diseases,is-a,health issue,Mental health issue
31779726,Mental health problems,is-a,health issue,Mental health issue
31779726,Alcohol problems,is-a,health issue,Mental health issue
31779726,Post-service socio-economic stability,is-a,protective factor,Protective Factor
36542051,Reduced socioeconomic disadvantage,is-a,protective factor,Protective Factor
36542051,Provision of housing stability,is-a,protective factor,Protective Factor
36542051,Condom use,is-a,protective factor,Protective Factor
31463614,Mental Health Problems,is-a,health issue,Mental health issue
31463614,Depression,is-a,Mental Health Problem,Mental health problem
31463614,Anxiety,is-a,Mental Health Problem,Mental health problem
31463614,Post-traumatic stress disorder symptoms,is-a,Mental Health Problem,Mental health problem
31463614,Somatic syndrome,is-a,Mental Health Problem,Mental health problem
31463614,Alcohol dependence,is-a,Mental Health Problem,Mental health problem
37923417,Depressive symptoms,is-a,Mental health problem,Mental health problem
37923417,Anxiety symptoms,is-a,Mental health problem,Mental health problem
37923417,Distress symptoms,is-a,Mental health problem,Mental health problem
