PMID,Child Concept,Relationship,Parent Concept
35043194,Tobacco use,is-a,behavioral factor
37230870,Data Completeness,is-a,Data Quality Attribute
37230870,Data Accuracy,is-a,Data Quality Attribute
37230870,Disease Registry Data,is-a,Health Database Type
37230870,EHR Data,is-a,Health Database Type
37230870,Race/Ethnicity Data,is-a,Patient Data Type
37230870,Race/Ethnicity Misclassification,is-a,Data Accuracy Issue
37230870,System-based Interventions,is-a,Data Quality Improvement Method
37230870,Self-reported Data,is-a,Data Collection Method
37230870,Research Purpose,is-a,Data Collection Purpose
37230870,Quality Improvement Purpose,is-a,Data Collection Purpose
28594767,United States,is-a,high-resource country
28594767,2014 ratio,is-a,maternal mortality ratio
28594767,Causes,is-a,unknown
28594767,Causes,is-a,related to social issues
28594767,Causes,is-a,related to economic issues
28594767,Causes,is-a,related to cultural issues
28594767,Causes,is-a,related to medical issues
28594767,National maternal mortality review committee,is-a,proposal
28594767,National maternal mortality review committee,is-a,modeled after those in other high-resource nations
29932352,Performance-based financing,is-a,Health reform
29932352,Equity of access to care,is-a,Health care consideration
29932352,Financial protection,is-a,Health care consideration
29932352,Strategic purchasing,is-a,Health reform
29932352,Universal health coverage,is-a,Health care target
29932352,Low-income countries,is-a,Economic classification
29932352,Middle-income countries,is-a,Economic classification
29932352,Health reforms in Africa,is-a,Geographic-specific reform
29932352,PBF-type interventions,is-a,Health intervention method
27009456,Prostate Cancer,is-a,Disease
27009456,Race,is-a,Demographic Variable
27009456,Age,is-a,Demographic Variable
27009456,Income,is-a,Socioeconomic Factor
27009456,Education Level,is-a,Socioeconomic Factor
27009456,Insurance Status,is-a,Socioeconomic Factor
27009456,Treatment Received,is-a,Health Care Factor
27009456,Gleason Score,is-a,Clinical Variable
27009456,Medical Mistrust,is-a,Psychosocial Variable
27009456,Diagnosis-to-treatment Interval,is-a,Healthcare System Factor
28346182,Poverty,is-a,Social determinant of health
28346182,Education,is-a,Social determinant of health
28346182,Unemployment,is-a,Social determinant of health
28346182,Social Support,is-a,Social determinant of health
28346182,Access to health care,is-a,Social determinant of health
28346182,Safe Housing,is-a,Social determinant of health
28346182,Food Security,is-a,Social determinant of health
28346182,Air Quality,is-a,Social determinant of health
28346182,Water Quality,is-a,Social determinant of health
26819337,Stem cell medicine,is-a,Health care advancement
26819337,Socioeconomic conditions,is-a,Determinant of health outcomes
26819337,Genetic diversity,is-a,Aspect of population
26819337,Socioeconomic diversity,is-a,Aspect of population
26819337,Social justice,is-a,Goal of stem cell research
24885492,Iran,is-a,Oil-exporting upper middle income country
24885492,Household Income and Expenditure Survey (HIES),is-a,Data source
24885492,National Development Plans (NDPs),is-a,Government strategy
24885492,Inequalities in health care,is-a,Health sector challenge
24885492,Health care expenditures,is-a,Economic aspect of health care
24885492,Urban households,is-a,Type of households
24885492,Rural households,is-a,Type of households
20957446,Smoking,is-a,health risk behavior
20957446,Obesity,is-a,health condition
20957446,Education,is-a,social determinant of health
20957446,Unemployment,is-a,social determinant of health
20957446,Air pollution,is-a,environmental determinant of health
20957446,Vaccination,is-a,preventive health measure
20957446,Stress,is-a,psychological determinant of health
20957446,Alcohol consumption,is-a,health risk behavior
20957446,Healthy diet,is-a,preventive health measure
20957446,Physical activity,is-a,preventive health measure
29173578,Racial_disparity,is-a,Health_disparity
29173578,Clinical_delay,is-a,Health_care_access_issue
29173578,Colon_cancer,is-a,Disease
29173578,Non-Hispanic_Black_population,is-a,Racial_group
29173578,Non-Hispanic_White_population,is-a,Racial_group
29173578,Socioeconomic_status,is-a,Social_determinant_of_health
29173578,Travel_burden,is-a,Barrier_to_healthcare
29173578,Chicago,is-a,Geographic_location
29173578,Public_hospital,is-a,Health_care_facility
29173578,Private_hospital,is-a,Health_care_facility
29173578,Academic_hospital,is-a,Health_care_facility
29173578,Treatment_initiation,is-a,Medical_procedure
29173578,Prolonged_clinical_delay,is-a,Medical_issue
33221844,"""Health disparity""","""is-a""","""health outcome"""
33221844,"""Biological factors""","""is-a""","""cause of health disparities"""
33221844,"""Social factors""","""is-a""","""cause of health disparities"""
33221844,"""Economic factors""","""is-a""","""cause of health disparities"""
33221844,"""Structural racism""","""is-a""","""mediator of health disparities"""
33221844,"""Discriminatory policies""","""is-a""","""mediator of health disparities"""
33221844,"""Laboratory medicine""","""is-a""","""tool to reduce health disparities"""
33221844,"""Electronic survey""","""is-a""","""method of data collection"""
33221844,"""215 participants""","""is-a""","""sample size for survey"""
33221844,"""Laboratorians""","""is-a""","""professional group"""
33221844,"""Nonlaboratorians""","""is-a""","""professional group"""
18796581,Medical Expenditure Panel Survey,is-a,data source
18796581,Disparities,is-a,health status indicator
18796581,Socioeconomic status,is-a,factor influencing health disparities
18796581,Institute of Medicine's definition,is-a,disparity definition
18796581,Race/ethnicity,is-a,factor affecting health disparities
18796581,Disparity trends,is-a,measurement of health inequalities
18796581,Office-based or outpatient visit,is-a,healthcare service
18796581,Medical expenditure,is-a,measure of healthcare cost
23180985,Underinsured Patients,face,Treatment Challenges
23180985,Social Factors,create,Barriers to Optimal Care
37845146,Racial disparity,is-a,aspect of maternal healthcare satisfaction
37845146,Quality of care,is-a,measure of maternal healthcare
37845146,Race,is-a,significant indicator for maternal healthcare satisfaction
37845146,Age,is-a,significant indicator for maternal healthcare satisfaction
37845146,Income,is-a,significant indicator for maternal healthcare satisfaction
37845146,Patient perception,is-a,recommended area for further in-depth research
25135343,Racial/ethnic disparities,is-a,health care issue
25135343,Clinical outcomes,is-a,measure of health care quality
25135343,Risk factor prevalence,is-a,potential cause of health disparities
25135343,Control of risk factors,is-a,potential cause of health disparities
25135343,Use of evidence-based procedures and medications,is-a,factor in health care quality
25135343,Social and environmental factors,is-a,potential cause of health disparities
25135343,Lower-quality health care providers and institutions,is-a,barrier to accessing care
25135343,Stereotyping and bias in medicine,is-a,contributor to treatment differences
25135343,Health policy changes,is-a,intervention for improving health care
25135343,Quality improvement programs,is-a,intervention for improving health care
25135343,Culturally targeted community and clinic-based interventions,is-a,intervention for improving health care
30462724,Kidney transplant evaluation,is-a,Medical Procedure
30462724,Dialysis,is-a,Medical Treatment
30462724,Diabetes,is-a,Chronic Disease
30462724,Physical limitation,is-a,Health Condition
30462724,Socioeconomic characteristics,is-a,Social Determinant of Health
30462724,Kidney transplant waitlist,is-a,Medical Procedure
30462724,Coronary artery disease,is-a,Cardiovascular Disease
30462724,Peripheral vascular disease,is-a,Cardiovascular Disease
30462724,Illegal drug use history,is-a,Behavioral Risk Factor
30462724,Caregiver absence,is-a,Social Determinant of Health
30462724,O blood type,is-a,Biological Trait
30462724,Cardiovascular morbidity,is-a,Health Outcome
30462724,UNOS listing,is-a,Medical Procedure
30462724,Indigenous American race,is-a,Ethnic Group
30462724,Non-Hispanic white American race,is-a,Ethnic Group
29267828,Dental care,is-a,health care service
29267828,Sobral,is-a,city
29267828,Ceará,is-a,state
29267828,Brazil,is-a,country
29267828,Immediate dental care,is-a,dental care
29267828,Lack of dental care,is-a,health care issue
29267828,Restorative treatment,is-a,dental treatment
29267828,Socioeconomic conditions,is-a,social determinant of health
29267828,Oral health services,is-a,health care service
29267828,Low socioeconomic status,is-a,risk factor
29267828,Young people,is-a,population group
29267828,Life course perspective,is-a,research methodology
29267828,Cohort study,is-a,type of study
21710946,Obesity,is-a,Health Issue
21710946,Smoking,is-a,Health Behavior
21710946,Education,is-a,Socioeconomic factor
21710946,Pollution,is-a,Environmental factor
32157486,HIV/STI risk,is-a,health disparity
32157486,Heterosexual African American youth,is-a,at-risk population
32157486,Structural disadvantage,is-a,risk factor
32157486,Interpersonal risk,is-a,risk factor
32157486,Community dysfunction,is-a,risk factor
32157486,Individual psychological factors,is-a,risk factor
32157486,Biological factors,is-a,risk factor
32157486,Multisystemic interventions,is-a,proposed solution
32157486,Structural risk factors,is-a,target of multisystemic interventions
30430571,'OBJECTIVE','is-a','Determination of relationship between health status and racial/ethnic disparities in outpatient visits'
30430571,'DATA SOURCE','is-a','2010-2014 Medical Expenditure Panel Survey'
30430571,'STUDY DESIGN','is-a','Probit and Negative Binomial modelling of visit probability and visit numbers'
30430571,'EXTRACTION METHODS','is-a','Subsetting to nonelderly adults'
30430571,'PRINCIPAL FINDINGS','is-a','Variation in racial/ethnic disparities with health status'
30430571,'CONCLUSIONS','is-a','Racial/ethnic disparities vary with health level'
31943285,Self-reported anorexia nervosa,is-a,eating pathology
31943285,Self-reported bulimia nervosa,is-a,eating pathology
31943285,Eating pathology-specific academic impairment,is-a,eating pathology
31943285,Cisgender men,is-a,gender identity
31943285,Cisgender women,is-a,gender identity
31943285,Transgender or genderqueer,is-a,gender identity
31943285,Gay or lesbian,is-a,sexual orientation
31943285,Bisexual,is-a,sexual orientation
31943285,Unsure,is-a,sexual orientation
31943285,Other,is-a,sexual orientation
31943285,Minnesota students,is-a,study sample
19656228,Health care expenditure,is-a,aspect of health care system
19656228,Racial/Ethnic differences,is-a,type of health disparity
19656228,Income inequality,is-a,social determinant of health
19656228,Education disparity,is-a,social determinant of health
36728400,African Americans,is-a,Vulnerable Populations
36728400,Kidney Transplant,is-a,Accessible Medical Procedure
36728400,Multilevel Quality Improvement Endeavor,is-a,Intervention
36728400,Dialysis Center Patient,is-a,ESKD Patient
36728400,Kidney Transplant Equity Index,is-a,Measure
28677072,Intestinal atresia,is-a,"cause of, neonatal intestinal obstruction"
28677072,Duodenal atresia,is-a,"type of, intestinal atresia"
28677072,Jejunio-ileal atresia,is-a,"type of, intestinal atresia"
28677072,Colonic atresia,is-a,"type of, intestinal atresia"
28677072,Aspiration,is-a,"cause of, mortality in intestinal atresia patients"
28677072,Anastomotic leak,is-a,"cause of, mortality in intestinal atresia patients"
28677072,Sepsis,is-a,"cause of, mortality in intestinal atresia patients"
37697315,Cancer,is-a,significant public health challenge
37697315,Inequity in cancer care,is-a,major challenge in Africa
37697315,Prevention,is-a,primary tier of cancer care
37697315,Diagnosis,is-a,primary tier of cancer care
37697315,Treatment/management,is-a,primary tier of cancer care
37697315,Inadequate funding,is-a,factor contributing to cancer care inequity in Africa
37697315,Poor cancer education,is-a,factor contributing to cancer care inequity in Africa
37697315,Lack of technical capacity,is-a,factor contributing to cancer care inequity in Africa
37697315,Cancer health promotion,is-a,national-level initiative for cancer care
37697315,Insurance coverage,is-a,capacity-based initiative for cancer care
37697315,Telemedicine diagnosis,is-a,method for implementing mobile health technology
37697315,Equitable access to cancer care,is-a,goal for health on the African continent
26118288,Poverty,is-a,Social Determinant of Health
26118288,Education,is-a,Social Determinant of Health
26118288,Housing,is-a,Social Determinant of Health
26118288,Employment,is-a,Social Determinant of Health
26118288,Access to Health Services,is-a,Social Determinant of Health
26118288,Environment,is-a,Social Determinant of Health
26118288,Lifestyle Factors,is-a,Social Determinant of Health
26118288,Social Relationships,is-a,Social Determinant of Health
26118288,Culture,is-a,Health Determinant of Health
20845839,Mental Disability,is-a,Health Issue
20845839,Poverty,is-a,Structural Factor
20845839,Inequality,is-a,Structural Factor
20845839,Homelessness,is-a,Structural Factor
20845839,Discrimination,is-a,Structural Factor
20845839,Human Rights Approach,is-a,Approach to Mental Disability
20845839,Rights-based Approach,is-a,Approach to Mental Disability
20845839,Healthcare Professionals,is-a,Advocates for Equality
20845839,Persons with Mental Disabilities,is-a,Center of Advocacy Movements
20845839,United Nations Convention on the Rights of Persons with Disabilities,is-a,International Treaty
20078455,Poverty,is-a,Social Determinant of Health
20078455,Education,is-a,Social Determinant of Health
20078455,Housing,is-a,Social Determinant of Health
20078455,Employment,is-a,Social Determinant of Health
20078455,Access to health services,is-a,Social Determinant of Health
22013815,Unemployment,is-a,Economic Status
22013815,Poverty,is-a,Economic Status
22013815,Education level,is-a,Socioeconomic factor
22013815,Access to healthcare,is-a,Health system factor
22013815,Air pollution,is-a,Environmental factor
20054056,Reducing racial/ethnic disparities,is-a,objective of pay-for-performance programs
20054056,Pay-for-performance programs,is-a,mechanism to target disparities reduction
20054056,Hospital executives,is-a,group concerned about funding and implementation of pay-for-performance programs
20054056,Safety net hospitals,is-a,group potentially at financial risk from pay-for-performance programs
20054056,Incentive mechanisms,is-a,tool for caring for minority patients
20054056,Resource constraints,is-a,concern for implementing pay-for-performance programs
32751946,Primary health care,is-a,strategy to eliminate health disparity
32751946,FD policy,is-a,intervention to reduce health disparities
32751946,System dynamics modeling,is-a,method to simulate health disparity formation
32751946,BAU scenario,is-a,simulation of health disparity without interventions
32751946,FD scenario,is-a,simulation of health disparity with FD intervention
32751946,Policy 1/Policy 2/Policy hybrid scenario,is-a,simulations of health disparity with supporting policies
32751946,Medical price control,is-a,dominant mechanism in reducing health disparities
32751946,Socioeconomic status,is-a,fundamental cause of health disparities
21563622,Direct medical costs,is-a,aspect of health care costs
21563622,Indirect costs,is-a,aspect of health care costs
21563622,Productivity loss,is-a,type of indirect cost
21563622,Premature death,is-a,health disparity
21563622,Health disparities,is-a,societal issue
21563622,Racial/ethnic disparities,is-a,type of health disparities
21563622,Potential cost savings,is-a,result of eliminating health disparities
21563622,Social justice,is-a,motivation for addressing health disparities
24602572,Poverty,is-a,Social Determinant of Health
24602572,Education,is-a,Social Determinant of Health
24602572,Unemployment,is-a,Social Determinant of Health
24602572,Income Inequality,is-a,Social Determinant of Health
24602572,Environment,is-a,Social Determinant of Health
24602572,Access to Healthcare,is-a,Social Determinant of Health
24602572,Housing,is-a,Social Determinant of Health
24602572,Social Exclusion,is-a,Social Determinant of Health
24602572,Food Security,is-a,Social Determinant of Health
23046302,U.S. Surgeon General's report,is-a,Publication
23046302,Mental Health: Culture,Race and Ethnicity,"is-a, Supplement Document"
23046302,Mental Health: A Report of the Surgeon General,is-a,Report
23046302,U.S. Department of Health and Human Services,is-a,Government Agency
23046302,Disparities in mental health care,is-a,Health Issue
23046302,Latinos,is-a,Ethnic Group
23046302,Research projects,is-a,Scientific Investigation
23046302,National studies of adults and children,is-a,Demographic Research
23046302,Longitudinal designs,is-a,Research Method
23046302,Analyses of Latino subgroups,is-a,Demographic Analysis
23046302,Schizophrenia,is-a,Mental Illness
23046302,Interventions,is-a,Treatment Approach
23046302,Social networks,is-a,Social Factor
27039229,LRTI,is-a,respiratory tract infection
27039229,AI/AN children,is-a,children
27039229,AI/AN infants,is-a,infants
27039229,White children,is-a,children
27039229,White infants,is-a,infants
27039229,Nonfederal hospitals,is-a,hospitals
27039229,Medicaid insurance,is-a,health insurance
27039229,Low household income,is-a,economic condition
27039229,Rural residence,is-a,geographical condition
30665560,Poverty,is-a,Socioeconomic Factor
30665560,Education,is-a,Socioeconomic Factor
30665560,Employment,is-a,Socioeconomic Factor
30665560,Healthy Behavior,is-a,Lifestyle Factor
30665560,Exercise,is-a,Healthy Behavior
30665560,Good nutrition,is-a,Healthy Behavior
30665560,Tobacco use,is-a,Risk Behavior
30665560,Alcohol consumption,is-a,Risk Behavior
30665560,Air Pollution,is-a,Environmental Factor
30665560,Access to Healthcare,is-a,Healthcare Factor
30665560,Racial Discrimination,is-a,Social Factor
30665560,Social Support,is-a,Social Factor
33507442,Telehealth services,is-a,health care service
33507442,COVID-19 pandemic,is-a,health event
33507442,Hepatology,is-a,medical specialty
33507442,Racial disparity,is-a,social determinant of health
33507442,Socioeconomic disparity,is-a,social determinant of health
33507442,Internet access,is-a,digital resource
33507442,Video technology,is-a,digital resource
33507442,Medicare/Medicaid insurance,is-a,health insurance
24922102,Black MSM,is-a,Risk Group for HIV
24922102,HIV Testing,is-a,Prevention Method
24922102,Brooklyn Residency,is-a,Geographic Risk Factor
24922102,Annual Income Less than US$20,000,"is-a, Socioeconomic Risk Factor"
24922102,Not having tested for HIV in past 12 months,is-a,Risk Behavior
24922102,Having a black last sex partner,is-a,Specific Risk Factor
20558541,Blacks,is-a,Race
20558541,Whites,is-a,Race
20558541,Nephrologist,is-a,Healthcare professional
20558541,Chronic Dialysis,is-a,Medical procedure
20558541,Nephrology Care,is-a,Healthcare service
20558541,Renal Replacement Therapy (RRT),is-a,Medical procedure
20558541,Pre-ESRD Nephrology care,is-a,Healthcare service
20558541,Renal Transplant,is-a,Medical procedure
20558541,Peritoneal Dialysis,is-a,Medical procedure
20558541,Hemodialysis Access,is-a,Medical procedure
27116030,Age-related macular degeneration,is-a,cause of blindness in the elderly
27116030,Anti-vascular endothelial growth factor agents,is-a,treatment for neovascular AMD
27116030,Ranibizumab,is-a,anti-VEGF agent
27116030,Bevacizumab,is-a,anti-VEGF agent
22971999,acute leukemia,is-a,hematologic malignancy
22971999,Acute lymphoblastic leukemia (ALL),is-a,acute leukemia
22971999,Acute myelogenous leukemia (AML),is-a,acute leukemia
22971999,blacks,is-a,race/ethnicity
22971999,Hispanics,is-a,race/ethnicity
22971999,non-Hispanic whites,is-a,race/ethnicity
22971999,Survival probability,is-a,health outcome
22971999,Mortality disparity,is-a,health outcome
22971999,health outcome,is-a,"result of, acute leukemia"
21175535,Anogenital injury,is a result of,rape
21175535,Differences in anogenital injury,is a result of,racial or skin color differences
21175535,Racial difference,is associated with,injury prevalence and frequency
21175535,Skin color difference,is associated with,injury prevalence and frequency
21175535,Injury prevalence,is a characteristic of,rape victims
21175535,Injury frequency,is a characteristic of,rape victims
21175535,Race,is a,significant factor in injury frequency
21175535,Skin color,is a,significant factor in injury frequency
21175535,Difference in anogenital injury,is a characteristic of,Black and White adolescent/young adult females
21175535,Black adolescent/young adult females,is a,race
21175535,White adolescent/young adult females,is a,race
21175535,Rape victims,is a,group of individuals
28282947,Non-retention in HIV care,is a,health care disparity
28282947,Non-viral suppression,is a,health care disparity
28282947,Caribbean-born Blacks,is a,racial/ethnic group
28282947,US-born Blacks,is a,racial/ethnic group
28282947,Hispanics,is a,racial/ethnic group
28282947,Non-Hispanic Whites,is a,racial/ethnic group
28282947,Bahamians,is a,racial/ethnic group
28282947,Haitians,is a,racial/ethnic group
28282947,Trinidadians and Tobagonians,is a,racial/ethnic group
28282947,Adjusted odds ratio,is a,statistical measure
28282947,Confidence interval,is a,statistical measure
21254144,midtrimester maternal serum analyte concentrations,is-a,medical measurement
21254144,Caucasian,is-a,ethnic group
21254144,Hispanic,is-a,ethnic group
21254144,Alfa-fetoprotein (AFP),is-a,serum analyte
21254144,estriol,is-a,serum analyte
21254144,human chorionic gonadotrophin (hCG),is-a,serum analyte
21254144,inhibin-A,is-a,serum analyte
21254144,trisomy 21,is-a,chromosomal disorder
21254144,neural tube defects,is-a,developmental disorder
29968514,Arctic States,is-a,Geographical Entity
29968514,Physicians,is-a,Health Professionals
29968514,Dentists,is-a,Health Professionals
29968514,Nurses,is-a,Health Professionals
29968514,Nordic countries,is-a,Geographical Entity
29968514,North America,is-a,Geographical Entity
29968514,Russia,is-a,Geographical Entity
