0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
21733222,Hypochondriasis,is-a,Somatoform Disorder,,,,,'community violence',16.0
21733222,Body Dysmorphic Disorder,is-a,Somatoform Disorder,,,,,'community violence',16.0
21733222,Trichotillomania,is-a,Grooming Disorder,,,,,'community violence',14.0
21733222,Pathological Skin Picking,is-a,Grooming Disorder,,,,,'community violence',14.0
33459078,TBI in early childhood,is-a,health condition,,,,,community_composition,13.0
33459078,Caregiver stress,is-a,mental health condition,,,,,community_composition,17.0
33459078,Parenting stress,is-a,mental health condition,,,,,community_composition,17.0
33459078,Psychological distress,is-a,mental health condition,,,,,community_composition,17.0
33459078,Child behavior management,is-a,behavioral health intervention,,,,,'social integration',19.0
33459078,Stress management,is-a,mental health intervention,,,,,'social integration',16.0
33459078,Self-care skills,is-a,health behavior,,,,,'polluted air',12.0
33459078,Positive parenting,is-a,parenting behavior,,,,,'polluted air',14.0
35143226,Parent-child relationship,is-a,social determinant of health,,,,,'social integration',17.0
35143226,Complementarity,is-a,characteristic of parent-child relationship,,,,,'access to public transportation',31.0
35143226,Warmth and control,are-a,aspects of complementarity,,,,,'social opportunity',18.0
35143226,Parent-child reciprocity,is-a,outcome of warmth complementarity,,,,,community_composition,23.0
35143226,Parent-child cooperation,is-a,outcome of control complementarity,,,,,community_composition,24.0
35143226,Parent-child conflict,is-a,factor in parent-child relationship,,,,,'mass incarceration',23.0
10203924,Survey,is-a,Research Method,,,,,park_access,13.0
10203924,Wives of alcoholics,is-a,Study Population,,,,,community_composition,13.0
10203924,Family adaptability,is-a,Family Dynamic,,,,,'polluted air',12.0
10203924,Cohesion,is-a,Family Dynamic,,,,,'polluted air',12.0
10203924,Co-dependence,is-a,Interaction Pattern,,,,,'polluted air',15.0
10203924,Family group participation,is-a,Support System,,,,,park_access,12.0
10203924,Self-help group participation,is-a,Support System,,,,,park_access,12.0
10203924,Statistical analyses,is-a,Data Analysis Method,,,,,park_access,16.0
10203924,Abstinence,is-a,Outcome Measure,,,,,'polluted air',13.0
10203924,Drinking,is-a,Health Behavior,,,,,'polluted air',12.0
19042739,Internet listserv,is-a,communication platform,,,,,community_composition,12.0
19042739,Lesbian nuns,is-a,social group,0.6666666666666667,,'social integration',,'social integration',10.0
19042739,Cyber-family,is-a,social group,0.6666666666666667,,'social integration',,'social integration',10.0
19042739,Famous family member,is-a,family role,,,,,park_access,10.0
19042739,Author,is-a,role in communication,,,,,community_composition,13.0
21553962,OCD,is-a,mental health disorder,,,,,'polluted air',17.0
21553962,OFF Scale,is-a,measurement tool,,,,,'polluted air',14.0
21553962,Family Accommodation Scale,is-a,measurement tool,,,,,'polluted air',14.0
21553962,Work and Social Adjustment Scale,is-a,measurement tool,,,,,'polluted air',14.0
21553962,Family functioning impairment,is-a,potential risk factor in OCD,,,,,social_risk_factors,14.0
21553962,Family functioning impairment,is-a,potential treatment outcome measure in OCD,,,,,'rate of hate crimes in society',31.0
19825115,Dementia,is-a,Chronic Disease,,,,,park_access,11.0
19825115,Family Caregivers,is-a,Role,,,,,park_access,9.0
19825115,Long-term care,is-a,Health Care Service,,,,,park_access,15.0
19825115,Education intervention,is-a,Health Care Strategy,,,,,'mass incarceration',15.0
19825115,Aged care literature,is-a,Information Source,,,,,'community violence',14.0
19825115,Staff-family relationships,is-a,Social Interaction,0.6666666666666667,,'social integration',,'social integration',4.0
19825115,Quality of care,is-a,Health Care Outcome,,,,,'mass incarceration',14.0
19825115,Descriptive qualitative design,is-a,Research Method,,,,,park_access,13.0
19825115,Semi-structured interviews,is-a,Data Collection Method,,,,,'polluted air',17.0
19825115,Confirmatory thematic analysis,is-a,Data Analysis Method,,,,,park_access,16.0
19825115,Work overload,is-a,Occupational Stress,,,,,park_access,13.0
19825115,Dissatisfaction with care,is-a,Negative Health Care Experience,,,,,'rate of hate crimes in society',23.0
19825115,Staff frustration,is-a,Negative Occupational Experience,,,,,'exposure to violence',24.0
19825115,Negative reactions to family caregivers,is-a,Negative Social Interaction,,,,,'social integration',12.0
19825115,Specialised evidence-based dementia care,is-a,Health Care Strategy,,,,,'mass incarceration',15.0
19825115,Service delivery,is-a,Health Care Process,,,,,park_access,13.0
31318267,Low-income couples,is-a,demographic group,,,,,'polluted air',15.0
31318267,Fragile Families and Child Wellbeing Study,is-a,longitudinal study,,,,,'polluted air',15.0
31318267,Family systems theory,is-a,theoretical framework,,,,,'mass incarceration',16.0
31318267,Actor-partner interdependence model,is-a,analytical model,,,,,'polluted air',14.0
31318267,Coparental support,is-a,family relationship quality indicator,,,,,'racism and violence in society',28.0
31318267,Paternal engagement,is-a,family relationship quality indicator,,,,,'racism and violence in society',28.0
31318267,Dyadic data,is-a,type of data,,,,,'polluted air',12.0
31318267,Early family interventions,is-a,type of intervention,,,,,'social integration',12.0
31318267,PsycINFO Database Record,is-a,information source,,,,,'community violence',14.0
34333095,COVID-19,is-a,Pandemic,,,,,park_access,8.0
34333095,Seriously ill children,is-a,Vulnerable group,,,,,park_access,14.0
34333095,Parental perspectives,is-a,Source of information,,,,,'social integration',12.0
34333095,Adolescent perspectives,is-a,Source of information,,,,,'social integration',12.0
34333095,Zoom interviews,is-a,Data collection method,,,,,'polluted air',17.0
34333095,Sociodemographic survey,is-a,Data collection method,,,,,'polluted air',17.0
34333095,Financial hardships,is-a,Economic impact,,,,,'community violence',14.0
34333095,Telehealth,is-a,Healthcare delivery method,,,,,'exposure to violence',20.0
34333095,Hybrid care model,is-a,Healthcare delivery method,,,,,'exposure to violence',20.0
34333095,Visitor restrictions,is-a,Safety measure,,,,,park_access,11.0
34333095,Increased in-home demands,is-a,Lifestyle change,,,,,'polluted air',14.0
34333095,Uncertainty,is-a,Psychological stressor,,,,,park_access,17.0
29267938,Caregiver,is-a,Role,,,,,park_access,9.0
29267938,Conflict,is-a,Interpersonal issue,,,,,park_access,14.0
29267938,Depressive symptoms,is-a,Psychological condition,,,,,community_composition,16.0
29267938,Intergenerational cohesion,is-a,Family dynamic,,,,,'polluted air',12.0
29267938,Health disparities,is-a,Social determinant of health,,,,,'social integration',17.0
29267938,Adult-child caregiver,is-a,Caregiver,,,,,park_access,8.0
29267938,Race,is-a,Demographic factor,,,,,social_risk_factors,12.0
29267938,Psychological well-being,is-a,Health outcome,,,,,park_access,12.0
25921707,End-of-life care,is-a,type of health care,,,,,'polluted air',15.0
25921707,Inpatient end-of-life care,is-a,type of end-of-life care,,,,,'polluted air',19.0
25921707,Effective communication and shared decision making,is-a,element of end-of-life care,,,,,'community violence',21.0
25921707,Expert care,is-a,element of end-of-life care,,,,,'community violence',21.0
25921707,Respectful and compassionate care,is-a,element of end-of-life care,,,,,'community violence',21.0
25921707,Trust and confidence in clinicians,is-a,element of end-of-life care,,,,,'community violence',21.0
25921707,Financial affairs,is-a,concern for families during end-of-life care,,,,,'rate of hate crimes in society',31.0
25921707,Adequate environment for care,is-a,concern for patients during end-of-life care,,,,,'rate of hate crimes in society',30.0
25921707,Minimising burden,is-a,concern for patients during end-of-life care,,,,,'rate of hate crimes in society',30.0
3556898,Family,hasRoleIn,Moral decision making,,,,,'polluted air',16.0
3556898,Physician,hasRoleIn,Moral decision making,,,,,'polluted air',16.0
3556898,Patient,hasRoleIn,Moral decision making,,,,,'polluted air',16.0
3556898,Autonomy,isConsideredIn,Moral decision making,,,,,'polluted air',16.0
3556898,Empathy,isConsideredIn,Moral decision making,,,,,'polluted air',16.0
3556898,Courage,isConsideredIn,Moral decision making,,,,,'polluted air',16.0
32898455,genetic testing,is-a,medical procedure,,,,,park_access,14.0
32898455,autosomal dominant genetic cancer predisposition syndromes,is-a,genetic condition,,,,,community_composition,13.0
32898455,CAYAs,is-a,demographic group,,,,,'polluted air',15.0
32898455,reproductive health/family building,is-a,health consideration,,,,,'foster collaboration',12.0
32898455,preventative screening/lifestyle behaviors,is-a,health strategy,,,,,'polluted air',13.0
30452761,Fragile Families and Child Wellbeing longitudinal dataset,is-a,dataset,,,,,park_access,8.0
30452761,Maternal relationship dissolution,is-a,family relationship event,,,,,'exposure to violence',19.0
30452761,Childhood sleep,is-a,child development factor,,,,,social_risk_factors,18.0
30452761,Child development,is-a,process,,,,,park_access,5.0
30452761,Externalizing symptoms,is-a,child development outcome,,,,,'employment programs',18.0
30452761,Internalizing symptoms,is-a,child development outcome,,,,,'employment programs',18.0
30452761,Attention difficulties,is-a,child development outcome,,,,,'employment programs',18.0
30452761,Social difficulties,is-a,child development outcome,,,,,'employment programs',18.0
30452761,Cognitive ability,is-a,child development outcome,,,,,'employment programs',18.0
30452761,Poor sleep quality,is-a,health condition,,,,,community_composition,13.0
29953695,Autism Spectrum Disorder,is-a,Health Condition,,,,,community_composition,13.0
29953695,Intellectual Disability,is-a,Health Condition,,,,,community_composition,13.0
29953695,Family Stress,is-a,Social Determinant of Health,,,,,'social integration',17.0
29953695,Personal Growth,is-a,Positive Outcome,,,,,'polluted air',14.0
29953695,Resilience,is-a,Positive Outcome,,,,,'polluted air',14.0
29953695,Family Systems Theory,is-a,Psychological Theory,,,,,social_risk_factors,14.0
29953695,Family Communication,is-a,Social Determinant of Health,,,,,'social integration',17.0
29953695,Change Tolerance,is-a,Positive Outcome,,,,,'polluted air',14.0
29953695,Belonging,is-a,Positive Outcome,,,,,'polluted air',14.0
26848859,BRCA genetic testing,is-a,cancer control strategy,,,,,'foster collaboration',16.0
26848859,BRCA genetic testing,is-a,medical implication for individuals seeking testing,,,,,'proximity to hazardous sites',36.0
26848859,BRCA genetic testing,is-a,psychosocial implication for individuals seeking testing,,,,,'proximity to hazardous sites',40.0
26848859,Parent-child communication,is-a,challenge for parents of minor children,,,,,'rate of hate crimes in society',28.0
26848859,Actor-Partner Interdependence Model,is-a,statistical model,,,,,'polluted air',15.0
37853429,Parenting programs,is-a,potential health improvement method,,,,,'water with high pollutants',26.0
37853429,All Children in Focus (ABC),is-a,Universal Parenting Program,,,,,'employment programs',16.0
37853429,Disruptive child behavior,is-a,child behavioral issue,,,,,'mass incarceration',17.0
37853429,Parenting practices,is-a,determinant of child behavior,,,,,'foster collaboration',22.0
37853429,Satisfaction,is-a,measure of program success,,,,,'employment programs',17.0
37853429,Homework completion,is-a,measure of participant engagement,,,,,'rate of hate crimes in society',23.0
37853429,Group leader experience,is-a,factor influencing program effectiveness,,,,,'employment programs',29.0
37853429,Family background,is-a,factor influencing child behavior and parenting practices,,,,,'access to public transportation',42.0
28913717,ADAPT,is-a,group-based parenting program,,,,,'employment programs',19.0
28913717,OIF/OEF/OND,is-a,military conflict,,,,,'polluted air',15.0
28913717,National Guard and Reserve families,is-a,military family,,,,,'polluted air',12.0
28913717,After Deployment,Adaptive Parenting Tools,"is-a, parenting program",,,,,'employment programs',14.0
28913717,Operations Iraqi or Enduring Freedom,or New Dawn,"is-a, military deployment",,,,,'community violence',18.0
28913717,Parenting,is-a,social interaction learning framework,,,,,'social integration',22.0
28913717,School-aged children,is-a,child demographic,,,,,'polluted air',14.0
28913717,Parent deployed to Iraq or Afghanistan,is-a,military deployment status,,,,,'employment programs',19.0
28913717,Web and print resources-as-usual,is-a,comparison group,,,,,park_access,13.0
37222500,Immigration-related discrimination,is-a,type of discrimination,,,,,'mass incarceration',15.0
37222500,Latino undergraduate students,is-a,type of students,,,,,'polluted air',13.0
37222500,Mental health outcomes,is-a,type of health outcomes,,,,,park_access,19.0
8962531,Convention on the Rights of the Child,is-a,UN General Assembly Document,,,,,'social integration',22.0
8962531,Convention on the Rights of the Child,is-a,Legal Document,,,,,park_access,11.0
8962531,United States,is-a,Country,,,,,'polluted air',11.0
8962531,Ratification,is-a,Legal Process,,,,,park_access,8.0
8962531,Critics,is-a,Group of People,,,,,'polluted air',14.0
8962531,Strong Families,is-a,Social Concept,0.6666666666666667,,'social integration',,park_access,11.0
8962531,Government Action,is-a,Political Concept,,,,,park_access,12.0
8962531,Family Life,is-a,Social Concept,0.6666666666666667,,'social integration',,park_access,11.0
24236806,Physical activity parenting,is-a,parenting strategy,,,,,park_access,14.0
24236806,Family ecological model,is-a,theoretical model,,,,,'polluted air',15.0
24236806,Parent depressive symptoms,is-a,family factor,,,,,park_access,11.0
24236806,Life pressures,is-a,family factor,,,,,park_access,11.0
24236806,Perceived empowerment to access PA resources,is-a,family factor,,,,,park_access,11.0
24236806,Neighborhood play safety,is-a,community factor,0.6666666666666667,,'community violence',,community_composition,10.0
24236806,Social capital,is-a,community factor,0.6666666666666667,,'community violence',,community_composition,10.0
24236806,Head Start centers,is-a,early childhood education program,,,,,'employment programs',23.0
24236806,Low-income parents,is-a,socio-economic group,,,,,'social integration',15.0
11921680,Arnold Gesell,is-a,Yale developmentalist,,,,,'polluted air',17.0
11921680,Arnold Gesell,is-a,researcher of child growth,,,,,'poverty in neighborhood',21.0
11921680,Normative scales,is-a,applied technology,,,,,'polluted air',14.0
11921680,Scientific adoption,is-a,central aspiration for human scientists,,,,,'access to working utilities',28.0
11921680,Scientific adoption,is-a,method for family formation,,,,,'foster collaboration',17.0
11921680,Child adoption,is-a,scientific enterprise,,,,,'social integration',16.0
11921680,Child growth studies,is-a,scientific field,,,,,'polluted air',14.0
21240696,Applied research on families in poverty,is-a,Research,,,,,park_access,9.0
21240696,Early Head Start National Research and Evaluation Project,is-a,Research Project,,,,,park_access,13.0
21240696,Research scientists,is-a,Profession,,,,,park_access,9.0
21240696,Program practitioners,is-a,Profession,,,,,park_access,9.0
21240696,Maternal attachment style,is-a,Psychological concept,,,,,park_access,16.0
21240696,Mother-child interaction,is-a,Psychological concept,,,,,park_access,16.0
21240696,Intervention research,is-a,Research methodology,,,,,'social integration',17.0
21240696,Program and policy implications,is-a,Outcome of Research,,,,,'polluted air',16.0
10986724,OCD,is-a,Mental Health Disorder,,,,,'polluted air',17.0
10986724,HRQL,is-a,Health Measure,,,,,'polluted air',12.0
10986724,Treatment,is-a,Health Intervention,,,,,'mass incarceration',11.0
10986724,Suffering,is-a,Health Outcome,,,,,park_access,12.0
10986724,Impairment,is-a,Health Outcome,,,,,park_access,12.0
10986724,Costs,is-a,Economic Factor,,,,,social_risk_factors,11.0
10986724,Benefits,is-a,Economic Factor,,,,,social_risk_factors,11.0
10986724,Limitations,is-a,Treatment Outcome,,,,,park_access,15.0
10335567,Childhood sexual abuse,is-a,type of trauma,,,,,'polluted air',13.0
10335567,Intrafamilial CSA,is-a,type of Childhood sexual abuse,,,,,'polluted air',24.0
10335567,Extrafamilial CSA,is-a,type of Childhood sexual abuse,,,,,'polluted air',24.0
10335567,Father support,is-a,type of family support,,,,,'polluted air',18.0
10335567,Parent support,is-a,type of family support,,,,,'polluted air',18.0
10335567,Brother support,is-a,type of family support,,,,,'polluted air',18.0
10335567,Family dissatisfaction,is-a,type of family response,,,,,'community violence',18.0
10335567,Family protectiveness,is-a,type of family response,,,,,'community violence',18.0
10335567,Family therapies,is-a,type of therapeutic approach,,,,,'polluted air',21.0
10335567,Systematic study,is-a,type of research method,,,,,park_access,18.0
10335567,Victim gender,is-a,demographic factor,,,,,social_risk_factors,12.0
10335567,Clinicians,is-a,type of healthcare professional,,,,,'rate of hate crimes in society',23.0
33368577,Hispanic fathers,is-a,demographic group,,,,,'polluted air',15.0
33368577,Qualitative content analysis,is-a,research method,,,,,park_access,13.0
33368577,COVID-19,is-a,health threat,,,,,park_access,11.0
33368577,Community-based fatherhood program,is-a,social support,0.6666666666666667,,'social integration',,'social opportunity',9.0
33368577,Nurses in the community,is-a,healthcare providers,,,,,'employment programs',15.0
33368577,Family-centered approach,is-a,healthcare strategy,,,,,'mass incarceration',15.0
24018797,End-stage renal disease,is-a,chronic disease,,,,,park_access,11.0
24018797,Peritoneal dialysis,is-a,medical treatment,,,,,'mass incarceration',13.0
24018797,Renal transplantation,is-a,medical treatment,,,,,'mass incarceration',13.0
24018797,Psychosocial Assessment of Childhood Experiences,is-a,assessment tool,,,,,'polluted air',13.0
24018797,Brief Measure of Expressed Emotion,is-a,assessment tool,,,,,'polluted air',13.0
27917470,Coercive parenting,is-a,parenting style,,,,,park_access,11.0
27917470,Disruptive behaviour,is-a,child behavior,,,,,'polluted air',11.0
27917470,Coparenting,is-a,parenting style,,,,,park_access,11.0
27917470,Twins,Family and Behaviour study,"is-a, longitudinal study",,,,,'social opportunity',19.0
27917470,Multilevel modelling,is-a,statistical analysis method,,,,,'mass incarceration',21.0
16671933,Parent-child relationship quality,is-a,family process,,,,,park_access,9.0
16671933,Biological family,is-a,family type,,,,,park_access,10.0
16671933,Single-mother family,is-a,family type,,,,,park_access,10.0
16671933,Stepfather family,is-a,family type,,,,,park_access,10.0
16671933,Complex/stepmother family,is-a,family type,,,,,park_access,10.0
16671933,Parent-child warmth/support,is-a,aspect of parent-child relationship quality,,,,,'rate of hate crimes in society',30.0
16671933,Parent-child conflict/negativity,is-a,aspect of parent-child relationship quality,,,,,'rate of hate crimes in society',30.0
16671933,Aggressive behavior,is-a,child-specific factor,,,,,social_risk_factors,15.0
35879640,ASD,is-a,Behavior problem,,,,,park_access,14.0
35879640,Parenting stress,is-a,Psychological stress,,,,,park_access,15.0
35879640,Parenting self-efficacy,is-a,Psychological resource,,,,,social_risk_factors,16.0
35879640,Family resources,is-a,Social resource,0.6666666666666667,,'social integration',,social_risk_factors,10.0
35879640,Child behavior problems,is-a,Psychological stressor,,,,,park_access,17.0
35879640,Parenting stress,is-a,Family problem,,,,,'polluted air',13.0
35879640,Intellectual disability,is-a,Cognitive disorder,,,,,'community violence',14.0
35879640,Medicaid-eligible children,is-a,Underserved population,,,,,'foster collaboration',16.0
35879640,Underserved children with ASD,is-a,Vulnerable group,,,,,park_access,14.0
35879640,Parenting self-efficacy,is-a,Mental health factor,,,,,social_risk_factors,13.0
35879640,Family supports,is-a,Social service,0.6666666666666667,,'social integration',,'social integration',10.0
35879640,Longitudinal follow-up,is-a,Research method,,,,,park_access,13.0
20282573,Poverty,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Education,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Employment,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Social Support,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Access to Health Services,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Housing,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Transportation,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Food Security,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Neighborhood Environment,is-a,Social Determinant of Health,,,,,'social integration',17.0
20282573,Health Behaviors,is-a,Social Determinant of Health,,,,,'social integration',17.0
10887717,Youth offenders,is-a,vulnerable population,,,,,'foster collaboration',15.0
10887717,Physical discomfort,is-a,health issue,,,,,park_access,11.0
10887717,Emotional discomfort,is-a,health issue,,,,,park_access,11.0
10887717,Medical condition,is-a,health issue,,,,,park_access,11.0
10887717,Abuse,is-a,social determinant of health,,,,,'social integration',17.0
10887717,Physical injury,is-a,health issue,,,,,park_access,11.0
10887717,Gunshot or stab wound,is-a,injury,,,,,park_access,11.0
10887717,Untreated injury,is-a,health issue,,,,,park_access,11.0
10887717,Family health problems,is-a,social determinant of health,,,,,'social integration',17.0
10887717,Criminal behavior,is-a,social determinant of health,,,,,'social integration',17.0
10887717,At-risk behaviors,is-a,social determinant of health,,,,,'social integration',17.0
10887717,Health perception discrepancy,is-a,health issue,,,,,park_access,11.0
16362239,Exploring Together,is-a,cognitive behavioral group program,,,,,'employment programs',26.0
16362239,Anger management,is-a,"component of, Exploring Together program",,,,,'employment programs',28.0
16362239,Problem-solving,is-a,"component of, Exploring Together program",,,,,'employment programs',28.0
16362239,Social skills training,is-a,"component of, Exploring Together program",,,,,'employment programs',28.0
16362239,Parenting skills training,is-a,"component of, Exploring Together program",,,,,'employment programs',28.0
16362239,Parent-child interactions,is-a,"target of, Exploring Together program",,,,,'employment programs',26.0
16362239,Behavioral and emotional problems,is-a,"characteristic of, children referred for externalizing behavior problems",,,,,'rate of hate crimes in society',55.0
16362239,Attention problems,is-a,"characteristic of, children referred for externalizing behavior problems",,,,,'rate of hate crimes in society',55.0
16362239,Positive parent-child interaction,is-a,"predictor of, treatment outcome",,,,,'limited internet access',23.0
16362239,Pre-existing levels of behavioral and emotional problems,is-a,"predictor of, treatment outcome",,,,,'limited internet access',23.0
16362239,Pre-existing levels of attention problems,is-a,"predictor of, treatment outcome",,,,,'limited internet access',23.0
1452803,Interdental cleaning behavior,is-a,health behavior,,,,,'polluted air',12.0
1452803,Norwegian National Health Survey 1985,is-a,health survey,,,,,'polluted air',12.0
1452803,Mother,is-a,family member,,,,,park_access,11.0
1452803,Sibling,is-a,family member,,,,,park_access,11.0
1452803,Two-parent families with 2 children above 6 years of age,is-a,family type,,,,,park_access,10.0
1452803,Logistic regression analyses,is-a,statistical method,,,,,'mass incarceration',14.0
1452803,Elder child's interdental cleaning behavior,is-a,health behavior,,,,,'polluted air',12.0
1452803,Younger sibling's interdental cleaning behavior,is-a,health behavior,,,,,'polluted air',12.0
17226095,Hyperactive children,is-a,type of children,,,,,'polluted air',14.0
17226095,Hyperactive and oppositional defiant children,is-a,type of children,,,,,'polluted air',14.0
17226095,Non-problem children,is-a,type of children,,,,,'polluted air',14.0
17226095,Axis II maternal psychopathology,is-a,type of maternal psychopathology,,,,,'poverty in neighborhood',24.0
17226095,Axis I paternal psychopathology,is-a,type of paternal psychopathology,,,,,'poverty in neighborhood',24.0
17226095,High intensity couple conflict tactics,is-a,type of conflict tactics,,,,,'foster collaboration',18.0
17226095,Maternal adult ADHD symptoms,is-a,type of maternal psychopathology,,,,,'poverty in neighborhood',24.0
17226095,Maternal avoidance and verbal aggression during marital conflict,is-a,type of conflict tactics,,,,,'foster collaboration',18.0
1923575,Duchenne muscular dystrophy,is-a,Genetic disorder,,,,,'polluted air',14.0
1923575,Family,is-a,Social unit,0.6666666666666667,,'social integration',,'social opportunity',9.0
1923575,Hope for normalcy,is-a,Emotional experience,,,,,'social integration',14.0
1923575,Society's confirmation of impossibility of normalcy,is-a,Social experience,0.6666666666666667,,'social integration',,'social integration',10.0
1923575,Dynamics of the family,is-a,Family experience,,,,,'community violence',14.0
1923575,A smaller world,is-a,Perception of reality,,,,,'social opportunity',15.0
1923575,Letting go or hanging on,is-a,Coping strategy,,,,,park_access,13.0
1923575,Things must change,is-a,Acceptance of situation,,,,,community_composition,17.0
1923575,Roy's Adaptation Model,is-a,Nursing model,,,,,park_access,12.0
1923575,Nursing interventions,is-a,Health care process,,,,,park_access,13.0
30545254,Mothers of breast cancer patients,is-a,study participants,,,,,park_access,14.0
30545254,Family quality of life,is-a,research theme,,,,,park_access,11.0
30545254,Historical perspectives on cancer,is-a,research theme,,,,,park_access,11.0
30545254,Familial role changes,is-a,research theme,,,,,park_access,11.0
30545254,Support systems,is-a,research theme,,,,,park_access,11.0
30545254,Coping mechanisms,is-a,research theme,,,,,park_access,11.0
30545254,Positive outcomes of breast cancer,is-a,research theme,,,,,park_access,11.0
30545254,Health-related family quality of life,is-a,theoretical framework,,,,,'mass incarceration',16.0
30545254,Implications for research and practice,is-a,study conclusion,,,,,park_access,13.0
22940171,Young adults with intellectual disability,is-a,Sample Group,,,,,park_access,11.0
22940171,Family configurations,is-a,Social Capital,0.6666666666666667,,'social integration',,'social opportunity',10.0
22940171,Psychological adjustment,is-a,Health Outcome,,,,,park_access,12.0
22940171,Configurational approach to families,is-a,Research Method,,,,,park_access,13.0
2147997,Coping model,is-a,framework,,,,,park_access,10.0
2147997,Developmental stages,is-a,framework,,,,,park_access,10.0
2147997,Chronic illnesses,is-a,disabling condition,,,,,community_composition,13.0
2147997,Disabilities,is-a,disabling condition,,,,,community_composition,13.0
2147997,Health professionals,is-a,promoters of effective coping and growth,,,,,'rate of hate crimes in society',27.0
2147997,Health professionals,is-a,promoters of psychosocial interventions,,,,,'social integration',24.0
2147997,Disabled children,is-a,beneficiaries of psychosocial growth interventions,,,,,cause_of_psychological_hardship_in_children,34.0
2147997,Family members of disabled children,is-a,beneficiaries of psychosocial growth interventions,,,,,cause_of_psychological_hardship_in_children,34.0
9599777,Study,is-a,Examination of family transition impact on deviant development,,,,,'criminal activities in neighborhood',46.0
9599777,French-Canadian boys,is-a,Sample in study,,,,,'polluted air',13.0
9599777,Family transition,is-a,Experience of some boys in study,,,,,'rate of hate crimes in society',22.0
9599777,Boys grouped by developmental period and number of marital transitions,is-a,Methodology of study,,,,,'polluted air',17.0
9599777,Delinquency and family processes assessment from ages 11 to 15,is-a,Part of study,,,,,park_access,10.0
9599777,Remarriage between ages 12 and 15,is-a,Risk factor for delinquency,,,,,'exposure to violence',21.0
9599777,Expressive parent-child relationships,is-a,Perceived less by boys who experienced remarriage between ages 12 and 15,,,,,'perceived discrimination from society',54.0
9599777,Parental monitoring,is-a,Perceived less by boys who experienced remarriage between ages 12 and 15,,,,,'perceived discrimination from society',54.0
21722035,Poverty-related stress,is-a,type of stress,,,,,park_access,10.0
21722035,Effortful stress responses,is-a,type of stress response,,,,,'polluted air',18.0
21722035,Involuntary stress responses,is-a,type of stress response,,,,,'polluted air',18.0
21722035,Symptoms of psychopathology,is-a,type of mental health symptom,,,,,'employment programs',22.0
21722035,Primary control coping,is-a,type of coping mechanism,,,,,'access to working utilities',19.0
21722035,Secondary control coping,is-a,type of coping mechanism,,,,,'access to working utilities',19.0
21722035,Disengagement coping,is-a,type of coping mechanism,,,,,'access to working utilities',19.0
21722035,Internalizing symptoms,is-a,type of psychopathological symptom,,,,,'rate of hate crimes in society',27.0
21722035,Externalizing symptoms,is-a,type of psychopathological symptom,,,,,'rate of hate crimes in society',27.0
