PMID,Child Concept,Relationship,Parent Concept
37019584,Social determinants of health,is-a,social condition
37019584,Social determinants of health,is-a,environment aspect
37019584,Social determinants of health,is-a,geographic location factor
37019584,Social determinants of health,is-a,health care access factor
37019584,Social determinants of health,is-a,nutrition aspect
37019584,Social determinants of health,is-a,socioeconomic factor
37019584,Economic stability,is-a,domain of Social determinants of health
37019584,Education,is-a,domain of Social determinants of health
37019584,Health care access and quality,is-a,domain of Social determinants of health
37019584,Social and community context,is-a,domain of Social determinants of health
37019584,Neighborhood and built environment,is-a,domain of Social determinants of health
37019584,Cardiovascular care,is-a,area impacted by Social determinants of health
31332597,Transactional sex,is-associated-with,socioeconomic disadvantage
31332597,Transactional sex,is-associated-with,HIV risk
31332597,Transactional sex,is-distinguished-from,sex work
31332597,Food insecurity,is-a,"predictor of, transactional sex"
31332597,Housing instability,is-a,"predictor of, transactional sex"
31332597,Substance abuse,is-a,"predictor of, transactional sex"
31332597,Partner incarceration,is-a,"predictor of, transactional sex"
33356537,Food insecurity,is-a,public health issue
33356537,Socioeconomic challenges,is-a,risk factor for food insecurity
33356537,Health issues,is-a,risk factor for food insecurity
33356537,Food Insecurity prevalence,is-a,research domain
33356537,Health status,is-a,research domain
33356537,Dietary practices,is-a,research domain
33356537,Health care utilization,is-a,research domain
33356537,Economic instability,is-a,research domain
33356537,Homelessness/housing instability,is-a,research domain
33356537,Food program participation,is-a,research domain
33356537,Community/emergency preparedness,is-a,research domain
33356537,Scoping literature review,is-a,research method
33356537,Data extraction,is-a,research method
33356537,Critical review,is-a,research method
34812655,Chronic obstructive pulmonary disease,is-a,Chronic disease
34812655,Economic instability,is-a,Social determinant of health
34812655,Stress,is-a,Psychological determinant of health
34812655,Financial insecurity,is-a,Economic instability
34812655,Housing insecurity,is-a,Economic instability
34812655,Food insecurity,is-a,Economic instability
34812655,Chronic obstructive pulmonary disease management programs,is-a,Health care program
34812655,Multinomial logistic models,is-a,Statistical Model
34812655,Behavioral Risk Factor Surveillance System,is-a,Health survey
34812655,'Social Determinants of Health' module,is-a,part of Behavioral Risk Factor Surveillance System
35765164,Pre-exposure prophylaxis (PrEP) uptake,is-a,HIV prevention strategy
35765164,Men who have sex with men (MSM),is-a,at-risk group for HIV
35765164,Emerging adulthood,is-a,period of increased vulnerability to HIV
35765164,Young MSM,is-a,subgroup of MSM
35765164,Mid-Atlantic urban metropolitan region of the U.S.,is-a,geographic area
35765164,Social identity support,is-a,factor influencing PrEP engagement
35765164,Descriptive PrEP norms,is-a,factor influencing PrEP engagement
35765164,Economic instability,is-a,potential barrier to PrEP engagement
35765164,PrEP engagement,is-a,measure of HIV prevention strategy uptake
35765164,Socioecological model,is-a,framework for studying PrEP engagement
35765164,Community capacity building,is-a,strategy for increasing PrEP engagement
32523231,Economic instability,is-a,Social determinant of health
32523231,Employment,is-a,Component of economic instability
32523231,Income,is-a,Component of economic instability
32523231,Financial well-being,is-a,Component of economic instability
32523231,Social policy,is-a,Factor influencing economic instability
32523231,Employment instability,is-a,Aspect of economic instability
32523231,Family structure,is-a,Social determinant of health
32523231,Workplace regulations,is-a,Social policy
32523231,Child-care subsidies,is-a,Social policy
33046932,Complex emergencies,is-a,major humanitarian emergencies
33046932,Natural disasters,is-a,emergencies
33046932,Major disease outbreaks,is-a,emergencies
33046932,National Veterinary Services,is-a,external interventions
33046932,Multisector integrated disaster management plans,is-a,preparedness and response strategies
33046932,Mitigation,is-a,"part of, disaster management plans"
33046932,Prevention,is-a,"part of, disaster management plans"
33046932,Recovery strategies,is-a,"part of, disaster management plans"
33046932,Animal-health-related interventions,is-a,"part of, National Veterinary Services' responsibilities"
33046932,Displaced people,is-a,affected parties in complex emergencies
33046932,Host communities,is-a,affected parties in complex emergencies
33046932,Pastoralists,is-a,affected parties in complex emergencies
32568157,Job insecurity,is a type of,employment-related economic stress
32568157,Financial stress,is a type of,income-related economic stress
32568157,Safety injuries,is a result of,economic stress
32568157,Accidents under-reporting,is a result of,economic stress
32568157,Economic stress,is a result of,emotional contagion
32568157,Financial strain,is a result of,anger-contagion
32568157,Job insecurity,is a result of,anger-contagion
32568157,Reduced economic stress,is a result of,joy-contagion
32604457,Terrorism,is-a,Major Threat
32604457,Economic Instability,is-a,Major Threat
32604457,Poverty,is-a,Major Threat
32604457,Natural Disasters,is-a,Major Threat
32604457,Infectious Diseases,is-a,Minor Problem
32604457,COVID-19,is-a,Global Pandemic
32604457,Gastrointestinal Disorders,is-a,Health Problem for Travelers
32604457,Dermatoses,is-a,Health Problem for Travelers
32604457,Respiratory Infections,is-a,Health Problem for Travelers
32604457,Fevers of Unknown Origin,is-a,Health Problem for Travelers
32604457,Medical Interview,is-a,Foundation of Post-travel Screening Process
32604457,Physical Examination,is-a,Method for Detecting Illnesses
32604457,Diagnostic Tests,is-a,Method for Detecting Illnesses
24753897,health systems,is-a,"provider of, quality health care"
24753897,health systems,is-a,"protector against, impoverishing health costs"
24753897,infertility treatment,is-a,"cause of, catastrophic expenditure"
24753897,infertility,is-a,"cause of, economic instability"
24753897,infertility,is-a,"cause of, other economic disadvantages"
24753897,out-of-pocket payment,is-a,"form of, patient's financial burden"
24753897,economic implications,is-a,"factor in, infertility treatment"
32434030,Mesopotamian culture,is-a,dawn of civilization
32434030,Asu and Asipu,is-a,physicians
32434030,Therapeutic and divinatory,is-a,forms of medicine
32434030,Code of Hammurabi,is-a,regulation framework for surgical procedures
32434030,Neurosurgery in present-day Iraq,is-a,challenge
32434030,Neurosurgeons in Iraq,is-a,professional group
32434030,Political,social,"and economic instability, is-a, condition in Iraq"
32434030,Progress in neurosurgery in Iraq,is-a,achievement
37427266,Novelcoronavirus-19,is a,Pandemic
37427266,Sustainability Oriented Innovation System,is a,Economic Policy System
37427266,GDP growth rate,is a,Indicator of Economic Stability
37427266,Fixed Effect Methods,is a,Empirical Analysis Method
37427266,Innovation input index and innovation output index,are a,Measurement of Sustainability Oriented Innovation System
37427266,Policymakers,are a,Decision-Makers
37427266,Economic stability,is a,Parameter of Economic Health
33920282,Breast cancer diagnosis,is a,Medical diagnosis
33920282,Economic crisis,is a,Socio-economic factor
33920282,Therapeutic management,is a,Medical treatment
33920282,Early-stage breast cancer,is a,Stage of breast cancer
33920282,Advanced-stage breast cancer,is a,Stage of breast cancer
33920282,Pre-crisis,is a,Time period
33920282,Crisis,is a,Time period
33920282,Post-crisis,is a,Time period
30579236,Stress,is-a,biological system alteration
30579236,Social disadvantages,is-a,stress source
30579236,Family conditions,is-a,early childhood development modifier
30579236,Family social and economic conditions,is-a,stress source during childhood
30579236,Early childhood conditions,is-a,physiological stress indicator
30579236,Family social and economic instability,is-a,cause of immune system dysregulation
30579236,DNA shedding of the Epstein-Barr virus,is-a,indicator of immune system dysregulation
30579236,Adolescents,is-a,group susceptible to effects of early childhood conditions
30579236,EBV-infected adolescents,is-a,group susceptible to effects of early childhood conditions
30579236,Family structure changes,is-a,form of early childhood family instability
30579236,Economic insecurity,is-a,form of early childhood family instability
34811867,Food insecurity,is-a,Social determinant of health
34811867,Housing instability,is-a,Social determinant of health
34811867,Dietary quality,is-a,Indicator of health
34811867,Food insecurity,is-a,Economic instability
34811867,Housing instability,is-a,Economic instability
34811867,US dietary guidelines,is-a,Standard for good dietary quality
34811867,Federal food assistance benefit,is-a,Aid for food insecurity
34811867,Children with Sickle Cell Disease,is-a,Affected group by Social determinant of health
34811867,Black and Hispanic Communities,is-a,Under-resourced US communities
34811867,Screening for food insecurity and housing instability,is-a,Method to identify nutrition-related social needs
35720928,Economic Security,is-a,Theoretical Issue
35720928,Economic Instability,is-a,Factor of Financial Market Stability
35720928,Economic Fluctuation,is-a,Research Topic
35720928,Economic Security Forecasting,is-a,Decision-making Factor
35720928,Economic Security Early Warning System,is-a,Research Content
35720928,CNN-SVM Algorithm,is-a,Support for Early Warning Model
35720928,ReLU Activation Function,is-a,Tool for CNN Network
35720928,RBF Function,is-a,Tool for SVM
35720928,Economic Security State,is-a,Subject of Evaluation
32876252,Marital violence,is-a,Domestic violence
32876252,Intimate Partner Violence,is-a,Domestic violence
32876252,Economic instability,is-a,Social determinant of health
32876252,Alcohol and other drugs use/abuse,is-a,Social determinant of health
32876252,Weaker women's support network,is-a,Social determinant of health
32876252,Pandemic-related violence,is-a,Social determinant of health
32876252,Narrative review,is-a,Literature review
32876252,English descriptors,is-a,Search terms
32876252,PubCovid-19 platform,is-a,Database
32876252,United States National Library of Medicine,is-a,Database
32876252,Excerpta Medica,is-a,Database
32876252,COVID-19,is-a,Pandemic
22475120,Parasitic infestation,is-a,common health problem in developing countries
22475120,Children,are-a,vulnerable group to parasitic infestations
22475120,Malnutrition,is-a,health problem resulting from parasitic infestations
22475120,Iron-deficiency anemia,is-a,health problem resulting from parasitic infestations
22475120,Surgical morbidities,are-a,health problem resulting from parasitic infestations
22475120,Impaired cognitive function,is-a,health problem resulting from parasitic infestations
22475120,Impaired educational achievement,is-a,health problem resulting from parasitic infestations
22475120,Surgical intervention,is-a,treatment for serious complications caused by parasitic infestations
22475120,Amoebic colitis,is-a,condition caused by protozoan infections
22475120,Liver abscess,is-a,condition caused by protozoan infections
22475120,Intestinal obstruction,is-a,condition caused by Ascaris lumbricoides
35903894,Psychological Effects,is-a,Result of COVID-19
35903894,PubMed database,is-a,Source of Studies
35903894,Anxiety,is-a,Psychological Effect
35903894,Depression,is-a,Psychological Effect
35903894,Stress,is-a,Psychological Effect
35903894,Urban Living,is-a,Protective Factor
35903894,Economic Stability,is-a,Protective Factor
35903894,Living with Parents,is-a,Protective Factor
35903894,COVID-19 infection in family,is-a,Risk Factor
34118735,SARS-CoV-2,is-a,novel virus
34118735,SARS-CoV-2,is-a,cause of global health crisis
34118735,Antiviral drug,is-a,potential solution for SARS-CoV-2
34118735,Drug repurposing,is-a,strategy for combating SARS-CoV-2
34118735,Co-infections,is-a,threat in the context of SARS-CoV-2
34118735,Proteins encoded by the SARS-CoV-2 genome,are-a,potential target for drug discovery
34118735,COVID-19,is-a,disease caused by SARS-CoV-2
34118735,Review,is-a,source of information about SARS-CoV-2
35895432,Yemen,is-a,Country
35895432,Yemeni people,is-a,Population
35895432,COVID-19 pandemic,is-a,Global health crisis
35895432,Famine,is-a,Humanitarian crisis
35895432,Inflated currency,is-a,Economic instability
35895432,Child marriages,is-a,Social issue
35895432,Humanitarian assistance,is-a,Aid
35895432,Severe food scarcity,is-a,Crisis
35895432,Global and local governments,is-a,Decision-makers
35239676,Economic security,is-a,economic aspect of life
35239676,Financial stability,is-a,aspect of economic security
35239676,Improved living standards,is-a,aspect of economic security
35239676,Economic affordability of food,is-a,indicator of economic security
35239676,Expenditures on food,is-a,indicator of economic affordability of food
35239676,GDP per capita,is-a,indicator of economic security
35239676,Income level,is-a,indicator of economic security
35239676,Economic protection,is-a,aspect of economic security
35239676,Economic instability,is-a,challenge to economic security
35239676,Low level of economic affordability of food,is-a,challenge to economic security
33716899,COVID-19,is-a,Health crisis
33716899,Lockdown,is-a,Response to COVID-19
33716899,Economic slowdown,is-a,Impact of COVID-19
33716899,Financial stability,is-a,Economic indicator
33716899,ARDL model,is-a,Statistical tool
33716899,Spillover impact,is-a,Global economic effect
33716899,Financial instability,is-a,Economic condition
33716899,Economic cycle,is-a,Economic condition
33716899,Smart lockdown,is-a,COVID-19 policy strategy
33716899,Lockdown checklist,is-a,Smart lockdown strategy
33716899,Lockdown tasks,is-a,Smart lockdown strategy
33716899,Close-down stock take or count,is-a,Smart lockdown strategy
35953877,Climate change,is-a,existential crisis
35953877,Greenhouse gas levels,is-a,factor of climate change
35953877,Global mean surface temperature,is-a,indicator of climate change
35953877,Extreme weather events,is-a,result of climate change
35953877,Deterioration of food,water and air quality,"is-a, result of climate change"
35953877,Economic and political instability,is-a,result of climate change
35953877,Mass population migration,is-a,result of climate change
35953877,Decreased food security,is-a,result of climate change
35953877,Increase in vector-borne infectious disease,is-a,result of climate change
35953877,Healthcare resources,is-a,requirement for climate change mitigation
35953877,Climate change,is-a,determinant of humanity's survival
35953877,Pregnant persons,is-a,vulnerable group to climate change
35953877,Women,is-a,adversely affected group by climate change
33150501,Type 2 Diabetes,is a,Chronic Disease
33150501,Insurance Coverage,is a,Social Determinant of Health
33150501,Economic Instability,is a,Social Determinant of Health
33150501,Employment,is a,Aspect of Economic Instability
33150501,Out-of-pocket expenses,is a,Aspect of Economic Instability
33150501,Food Insecurity,is a,Social Determinant of Health
33150501,Education and Literacy,is a,Social Determinant of Health
33150501,Access to Quality Health Care,is a,Social Determinant of Health
33150501,Health systems designed to effectively manage chronic disease,is a,Aspect of Quality Health Care
33150501,Neighborhood and the built environment,is a,Social Determinant of Health
33150501,Housing,is a,Aspect of Neighborhood and Built Environment
33150501,Social and Community Context,is a,Social Determinant of Health
33150501,Discrimination,is a,Aspect of Social and Community Context
38026276,Adverse economic events,is-a,economic instability
38026276,Unexpected medical expenses,is-a,adverse economic events
38026276,Job loss,is-a,adverse economic events
38026276,Pay reduction,is-a,adverse economic events
38026276,Death of a family member,is-a,adverse economic events
38026276,Increased debt,is-a,adverse economic events
38026276,Moderate hunger,is-a,hunger level
38026276,Severe hunger,is-a,hunger level
38026276,Household Hunger Scale,is-a,assessment tool
38026276,Cross-sectional survey,is-a,research method
38026276,Food pantry users,is-a,study participants
33456417,Financial behaviors,is-a,determinant of financial stability
33456417,Financial behaviors,is-a,determinant of health outcomes
33456417,Hope theory,is-a,framework for behavior change
33456417,Financial education and coaching program,is-a,means of promoting hope
33456417,Finances First,is-a,randomized controlled trial
36593824,Exchange rate volatility,is-a,economic factor
36593824,Economic growth,is-a,economic factor
36593824,Financial development,is-a,economic factor
36593824,Government spending,is-a,economic factor
36593824,Economic openness,is-a,economic factor
36593824,Investment,is-a,economic factor
37243096,SARS-CoV-2,is-a,viral pathogen
37243096,Viral pathogen,is-a,threat to human health
37243096,Antiviral therapeutics,is-a,method against viral pathogens
37243096,Vaccination programs,is-a,method against viral pathogens
37243096,Traditional vaccines,is-a,method against viral pathogens
37243096,Bioprocessing,is-a,method for production of antiviral agents
37243096,Monoclonal antibodies,is-a,antiviral therapies
37243096,Cytokines,is-a,antiviral therapies
37243096,Novel strategies,is-a,solution for limitations of traditional vaccines
37243096,Changes in manufacturing and distribution,is-a,way to prevent future disease outbreaks
15311412,HIV/AIDS,is-a,pandemic
15311412,Sub-Saharan Africa,is-a,region
15311412,Voluntary counseling and testing,is-a,strategy
15311412,Behavior modifications,is-a,strategy
15311412,Antiretroviral availability,is-a,strategy
15311412,Non-governmental organizations,is-a,strategy
15311412,Women of child-bearing age,is-a,population
15311412,Children,is-a,population
15311412,The elderly,is-a,population
15311412,Malawi,is-a,southern African country
15311412,Uganda,is-a,country
15311412,HIV/AIDS,is-a,disease
37560103,Unemployment,is-a,Economic instability
37560103,Violence,is-a,Social issue
37560103,Poverty,is-a,Economic issue
37560103,HIV/AIDS,is-a,Health issue
37560103,Orphanhood,is-a,Social issue
37560103,Resilience,is-a,Psychological process
37560103,Psychologists,is-a,Service professionals
37560103,School counselors,is-a,Service professionals
37560103,Social workers,is-a,Service professionals
37560103,Teachers,is-a,Service professionals
25749487,Mother,is-a,Employed Person
25749487,Union Dissolution,is-a,Marital status change
25749487,Divorce,is-a,Marital status change
25749487,Cohabitation dissolution,is-a,Marital status change
25749487,Child support,is-a,Public Transfer
25749487,Income from personal networks,is-a,Private Safety Net
25749487,Survey of Income and Program Participation,is-a,National representative panel
25749487,Economic consequences of divorce,is-a,Economic Impact
25749487,Economic consequences of cohabitation dissolution,is-a,Economic Impact
25749487,Marital Stability,is-a,Family Status
25749487,Income Instability,is-a,Financial Status
29470783,Cohabitation,is-a,Relationship context for U.S. adults
29470783,Specialization,is-a,Economic foundation for cohabiting couples
29470783,Male breadwinner norm,is-a,Economic foundation for cohabiting couples
29470783,Low income,is-a,Source of stress and conflict for cohabiting couples
29470783,Marriage bar theory,is-a,Theory explaining economic standards associated with marriage
29470783,Survival analysis,is-a,Statistical method used in the study
29470783,Prospective monthly data,is-a,Type of data used in the study
29470783,Survey of Income and Program Participation,is-a,Source of data for the study
29470783,Economic specialization,is-a,Theory tested in the study
29470783,Men's ability to be good providers,is-a,Aspect considered in the study
29470783,Within-couple earnings equality,is-a,Factor promoting stability in cohabiting relationships
29470783,Between-couple inequalities in economic resources,is-a,Factor producing inequalities in couples' relationship outcomes
37410330,Environmental degradation,is-a,"factor of, macroeconomic instability"
37410330,Bank credit,is-a,"factor of, macroeconomic instability"
37410330,Government spending,is-a,"factor of, macroeconomic stability"
37410330,Governance,is-a,"moderating factor in, macroeconomic instability"
37410330,Macroeconomic instability,is-a,"outcome of, environmental degradation"
37410330,Macroeconomic stability,is-a,"outcome of, governance and government spending"
37410330,Emerging market economies,is-a,"subject of, study"
37410330,PMG-ARDL method,is-a,"method used in, study"
37410330,FGLS technique,is-a,"method used in, cross-validation of study results"
26091499,Population growth,is-a,socio-economic factor
26091499,Energy use,is-a,technological factor
26091499,Carrying capacity,is-a,environmental factor
26091499,Political change,is-a,social factor
26091499,Technological change,is-a,technological factor
26091499,Environmental change,is-a,environmental factor
26091499,Social change,is-a,social factor
26091499,Sustainable world,is-a,global goal
26091499,Malthusian growth,is-a,population growth type
26091499,Exponential growth,is-a,population growth type
26091499,Super-exponential growth,is-a,population growth type
36561276,Gender-Based Violence,is-a,manifestation of gender inequality
36561276,COVID-19,is-a,risk factor for Gender-Based Violence
36561276,Forced marriage,is-a,form of Gender-Based Violence
36561276,Household violence,is-a,form of Gender-Based Violence
36561276,Pre-existing gender inequalities,is-a,risk factor for Gender-Based Violence
36561276,Regressive gender norms,is-a,risk factor for Gender-Based Violence
36561276,Economic instability,is-a,risk factor for Gender-Based Violence
36561276,GBV service provision,is-a,community level program
36561276,GBV programming,is-a,strategy to combat Gender-Based Violence
36561276,Innovative approaches,is-a,strategy to combat Gender-Based Violence
36561276,COVID-19 pandemic,is-a,"challenge for individual, community, institution, and policy"
36561276,Private,public and cyberspace,"is-a, combat zone for Gender-Based Violence"
36324860,illiteracy,is-a,educational characteristic
36324860,poverty,is-a,economic characteristic
36324860,lack of accessibility to education,is-a,educational characteristic
36324860,lack of interest in school,is-a,educational characteristic
36324860,change of the communist political regime,is-a,political characteristic
36324860,economic instability,is-a,economic characteristic
36324860,Romanian education system,is-a,educational institution
36324860,Western reforms,is-a,political characteristic
36324860,modern strategies,is-a,educational strategy
36324860,quasi-obsolete strategies,is-a,educational strategy
36324860,residential area factor,is-a,geographic characteristic
36324860,ethnic and religious heritage,is-a,cultural characteristic
36324860,social and economic environment,is-a,societal characteristic
37823967,Family formation,is-a,social stability factor
37823967,Employment instability,is-a,negative factor for fertility decisions
37823967,Unemployment,is-a,form of employment instability
37823967,Temporary employment,is-a,form of employment instability
37823967,Gender roles,is-a,factor in employment situation influence
33962537,Depression,is-a,common condition
33962537,Depression,is-a,debilitating condition
33962537,Depression,is-a,modifiable risk factor
33962537,Women,is-a,group disproportionately burdened by depression
33962537,Low-income pregnant and parenting women,is-a,group with high rates of depression
33962537,Community-based psychological and economic interventions,is-a,opportunity for addressing depression
33962537,Maternal depression,is-a,perpetuator of intergenerational poverty
33962537,Policies to treat maternal depression,is-a,recommendation for social services systems
35298258,Puerto Rico Oversight,Management,"and Economic Stability Act, is-a, Law"
35298258,Financial Oversight and Management Board,is-a,Governing Body
35298258,University of Puerto Rico,is-a,Educational Institution
35298258,Science,Technology,"Engineering, and Mathematics, is-a, Academic fields"
35298258,Debt restructuring,is-a,Economic Activity
35298258,Economic Recovery,is-a,Economic Activity
35298258,Budget cut,is-a,Financial Decision
35298258,State funding,is-a,Financial Resource
33551864,COVID-19 pandemic,is-a,unusual circumstance
33551864,Suicide prevention,is-a,challenge during COVID-19 pandemic
33551864,Fear of COVID-19,is-a,risk factor for suicidal behavior
33551864,Economic instability,is-a,risk factor for suicidal behavior
33551864,Poor access to healthcare facilities,is-a,risk factor for suicidal behavior
33551864,Pre-existing psychiatric disorders,is-a,risk factor for suicidal behavior
33551864,Social disconnect,is-a,risk factor for suicidal behavior
33551864,Interpersonal model,is-a,theoretical approach to understanding suicide risk
33551864,Stress diathesis model,is-a,theoretical approach to understanding suicide risk
33551864,Cognitive model,is-a,theoretical approach to understanding suicide risk
33551864,Perceived burdensomeness,is-a,reason behind suicidal risk factors
33551864,Thwarted belongingness,is-a,reason behind suicidal risk factors
33551864,Stress sensitivity,is-a,reason behind suicidal risk factors
37096618,United States,is-a,Country
37096618,Life Expectancy,is-a,Health Indicator
37096618,Mortality,is-a,Health Indicator
37096618,Health systems,is-a,Organizational Entity
37096618,Population health management,is-a,Health Strategy
37096618,Safe housing,is-a,Social Determinant of Health
37096618,Blue and green spaces,is-a,Social Determinant of Health
37096618,Reliable and safe transportation,is-a,Social Determinant of Health
37096618,Education and literacy,is-a,Social Determinant of Health
37096618,Opportunities for economic stability,is-a,Social Determinant of Health
37096618,Sanitation,is-a,Social Determinant of Health
37096618,Political determinants of health,is-a,Root Cause of Health Inequities
25226222,Heat stress,is-a,Direct effect of climate change
25226222,Degraded air quality,is-a,Direct effect of climate change
25226222,Rising sea levels,is-a,Direct effect of climate change
25226222,Food and water security,is-a,Indirect effect of climate change
25226222,Extreme weather events,is-a,Direct effect of climate change
25226222,Vulnerable shelter,is-a,Indirect effect of climate change
25226222,Population migration,is-a,Indirect effect of climate change
25226222,Transmission of diseases,is-a,Effect of environmental conditions
25226222,Mental health problems,is-a,Indirect effect of climate change
25226222,Children,is-a,Vulnerable group to climate change
25226222,Elderly,is-a,Vulnerable group to climate change
36580063,Rheumatology,is-a,field
36580063,Diagnostic advancements,is-a,result of research
36580063,Pathophysiological advancements,is-a,result of research
36580063,Therapeutic advancements,is-a,result of research
36580063,Research,is-a,partly a result of physical and financial support
36580063,Political instability,is-a,factor impacting healthcare advancement
36580063,Economic instability,is-a,factor impacting healthcare advancement
36580063,Randomized controlled trials,is-a,type of publication
36580063,Cohort studies,is-a,type of publication
36580063,Cross-sectional studies,is-a,type of publication
36580063,Systematic reviews,is-a,type of publication
36580063,Narrative reviews,is-a,type of publication
36580063,Case reports,is-a,type of publication
36580063,Gross domestic product,is-a,economic indicator
36580063,Coronavirus disease 2019 era,is-a,time period
37856493,Stock market,is-a,Economic barometer
37856493,Political instability,is-a,Factor affecting stock market
37856493,GDP,is-a,Economic indicator
37856493,Political instability index,is-a,Governance indicator
37856493,Regression Analysis,is-a,Statistical method
37856493,Robustness Analysis,is-a,Validation method
37856493,GMM methods,is-a,Econometric method
37856493,Foreign investment,is-a,Economic activity
37856493,Investor confidence,is-a,Investment determinant
37470927,Economic Stability,is-a,Social Determinant Of Health
37470927,Education Access/Quality,is-a,Social Determinant Of Health
37470927,Health Care Access/Quality,is-a,Social Determinant Of Health
37470927,Neighborhood/Built Environment,is-a,Social Determinant Of Health
37470927,Social/Community Context,is-a,Social Determinant Of Health
37470927,COVID-19 pandemic,is-a,External Factor Influencing Social Determinants Of Health
37470927,Community violence,is-a,Social/Community Context
37470927,Racism,is-a,Social/Community Context
37470927,Policy decisions,is-a,Economic Stability
37470927,Poverty,is-a,Economic Stability
37470927,Food insecurity,is-a,Economic Stability
37470927,Mental Health outcomes,is-a,Health Care Access/Quality
37470927,School-based mental health services,is-a,Education Access/Quality
29026491,Urban family physician plan,is-a,healthcare program
29026491,Out-of-pocket payments,is-a,healthcare expenditure
29026491,Healthcare utilization,is-a,healthcare behaviour
29026491,Propensity score matching estimator,is-a,statistical method
29026491,Household income and expenditures survey,is-a,economic data
29026491,Economic instability,is-a,economic condition
29026491,Inequality in out-of-pocket payments,is-a,economic disparity
29026491,Healthcare infrastructure,is-a,healthcare resource
37113281,CDC,is-a,Organization
37113281,Social Determinants of Health,is-a,Concept
37113281,Economic Stability,is-a,Social Determinant of Health
37113281,Quality Health Care,is-a,Social Determinant of Health
37113281,Physical Environment,is-a,Social Determinant of Health
37113281,Surgeons,is-a,Healthcare Professionals
37113281,Disparities,is-a,Health Outcome
37113281,Patient Access,is-a,Health Outcome
37113281,Patient Recovery,is-a,Health Outcome
37113281,Surgery,is-a,Medical Procedure
37994473,Scoping review,is-a,research method
37994473,COVID-19,is-a,pandemic
37994473,Online child sexually explicit material,is-a,form of child abuse
37994473,Online child sexual abuse,is-a,form of child abuse
37994473,Trafficking of self-generated material,is-a,form of child abuse
37994473,Stay-at-home orders,is-a,COVID-19-related precaution
37994473,Technology use increase,is-a,COVID-19-related precaution
37994473,Economic instability,is-a,result of COVID-19
37994473,Lack of available victim and legal resources,is-a,result of COVID-19
37994473,Global and national law enforcement procedures,is-a,method of preventing online child abuse
37994473,CSEM production,is-a,form of child abuse
