PMID,Child Concept,Relationship,Parent Concept,Most Similar Term (BERT),Cosine Similarity (BERT)
32604457,Poverty,is-a,Major Threat,suicide attempts,0.7438303232192993
32604457,Natural Disasters,is-a,Major Threat,suicide attempts,0.7438303232192993
32604457,Infectious Diseases,is-a,Minor Problem,suicide attempts,0.7111233472824097
32604457,COVID-19,is-a,Global Pandemic,,
32604457,Gastrointestinal Disorders,is-a,Health Problem for Travelers,mental health problem,0.7673706412315369
32604457,Dermatoses,is-a,Health Problem for Travelers,mental health problem,0.7673706412315369
32604457,Respiratory Infections,is-a,Health Problem for Travelers,mental health problem,0.7673706412315369
32604457,Fevers of Unknown Origin,is-a,Health Problem for Travelers,mental health problem,0.7673706412315369
32604457,Medical Interview,is-a,Foundation of Post-travel Screening Process,,
32604457,Physical Examination,is-a,Method for Detecting Illnesses,nutritional intervention,0.7169420123100281
32604457,Diagnostic Tests,is-a,Method for Detecting Illnesses,nutritional intervention,0.7169420123100281
24753897,health systems,is-a,"provider of, quality health care",service professionals,0.7183916568756104
24753897,health systems,is-a,"protector against, impoverishing health costs",'risk of adverse kidney outcomes',0.7039191722869873
24753897,infertility treatment,is-a,"cause of, catastrophic expenditure",,
24753897,infertility,is-a,"cause of, economic instability",mental health problem,0.7457300424575806
24753897,infertility,is-a,"cause of, other economic disadvantages",,
24753897,out-of-pocket payment,is-a,"form of, patient's financial burden",mental health problem,0.7135262489318848
24753897,economic implications,is-a,"factor in, infertility treatment",'higher risk to pregnanat women',0.7065697908401489
32434030,Mesopotamian culture,is-a,dawn of civilization,,
32434030,Asu and Asipu,is-a,physicians,suicide attempts,0.7635589838027954
32434030,Therapeutic and divinatory,is-a,forms of medicine,,
32434030,Code of Hammurabi,is-a,regulation framework for surgical procedures,workplace safety requirements,0.7746924161911011
32434030,Neurosurgery in present-day Iraq,is-a,challenge,,
32434030,Neurosurgeons in Iraq,is-a,professional group,work environment,0.7285968065261841
32434030,Political,social,"and economic instability, is-a, condition in Iraq",,
32434030,Progress in neurosurgery in Iraq,is-a,achievement,service professionals,0.762114405632019
37427266,Novelcoronavirus-19,is a,Pandemic,,
37427266,Sustainability Oriented Innovation System,is a,Economic Policy System,social policy,0.8806931376457214
37427266,GDP growth rate,is a,Indicator of Economic Stability,,
37427266,Fixed Effect Methods,is a,Empirical Analysis Method,psychological effect,0.7346777319908142
37427266,Innovation input index and innovation output index,are a,Measurement of Sustainability Oriented Innovation System,'role clarity at work place',0.7028687596321106
37427266,Policymakers,are a,Decision-Makers,service professionals,0.7698028087615967
37427266,Economic stability,is a,Parameter of Economic Health,social policy,0.7533739805221558
33920282,Breast cancer diagnosis,is a,Medical diagnosis,suicide attempts,0.787548303604126
33920282,Economic crisis,is a,Socio-economic factor,psychological factor,0.7214906215667725
33920282,Therapeutic management,is a,Medical treatment,nutritional intervention,0.8011325597763062
33920282,Early-stage breast cancer,is a,Stage of breast cancer,'risk of cancer',0.7049336433410645
33920282,Advanced-stage breast cancer,is a,Stage of breast cancer,'risk of cancer',0.7049336433410645
33920282,Pre-crisis,is a,Time period,suicide attempts,0.7143380641937256
33920282,Crisis,is a,Time period,suicide attempts,0.7143380641937256
33920282,Post-crisis,is a,Time period,suicide attempts,0.7143380641937256
30579236,Stress,is-a,biological system alteration,nutritional deficiency,0.7230612635612488
30579236,Social disadvantages,is-a,stress source,protective factor,0.7900768518447876
30579236,Family conditions,is-a,early childhood development modifier,,
30579236,Family social and economic conditions,is-a,stress source during childhood,history of domestic violence,0.7445013523101807
30579236,Early childhood conditions,is-a,physiological stress indicator,psychological distress,0.7961012721061707
30579236,Family social and economic instability,is-a,cause of immune system dysregulation,,
30579236,DNA shedding of the Epstein-Barr virus,is-a,indicator of immune system dysregulation,'risk of vector borne disease',0.7026709318161011
30579236,Adolescents,is-a,group susceptible to effects of early childhood conditions,psychosocial factors,0.7361116409301758
30579236,EBV-infected adolescents,is-a,group susceptible to effects of early childhood conditions,psychosocial factors,0.7361116409301758
30579236,Family structure changes,is-a,form of early childhood family instability,history of domestic violence,0.7326532602310181
30579236,Economic insecurity,is-a,form of early childhood family instability,history of domestic violence,0.7326532602310181
34811867,Food insecurity,is-a,Social determinant of health,factor influencing health,0.7891273498535156
34811867,Housing instability,is-a,Social determinant of health,factor influencing health,0.7891273498535156
34811867,Dietary quality,is-a,Indicator of health,mental health issue,0.7622106075286865
34811867,Food insecurity,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34811867,Housing instability,is-a,Economic instability,nutritional deficiency,0.7382210493087769
34811867,US dietary guidelines,is-a,Standard for good dietary quality,nutritional intervention,0.7016454935073853
34811867,Federal food assistance benefit,is-a,Aid for food insecurity,'malnutrition due to insufficient food',0.7377533912658691
34811867,Children with Sickle Cell Disease,is-a,Affected group by Social determinant of health,factor influencing health,0.7580207586288452
34811867,Black and Hispanic Communities,is-a,Under-resourced US communities,,
34811867,Screening for food insecurity and housing instability,is-a,Method to identify nutrition-related social needs,'risk of adverse kidney outcomes',0.7322501540184021
35720928,Economic Security,is-a,Theoretical Issue,psychological factor,0.740088939666748
35720928,Economic Instability,is-a,Factor of Financial Market Stability,,
35720928,Economic Fluctuation,is-a,Research Topic,suicide attempts,0.753659725189209
35720928,Economic Security Forecasting,is-a,Decision-making Factor,psychological factor,0.7757563591003418
35720928,Economic Security Early Warning System,is-a,Research Content,service professionals,0.7799369692802429
35720928,CNN-SVM Algorithm,is-a,Support for Early Warning Model,,
35720928,ReLU Activation Function,is-a,Tool for CNN Network,,
35720928,RBF Function,is-a,Tool for SVM,,
35720928,Economic Security State,is-a,Subject of Evaluation,service professionals,0.7272738218307495
32876252,Marital violence,is-a,Domestic violence,domestic violence,0.9999998807907104
32876252,Intimate Partner Violence,is-a,Domestic violence,domestic violence,0.9999998807907104
32876252,Economic instability,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32876252,Alcohol and other drugs use/abuse,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32876252,Weaker women's support network,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32876252,Pandemic-related violence,is-a,Social determinant of health,factor influencing health,0.7891273498535156
32876252,Narrative review,is-a,Literature review,social policy,0.7035404443740845
32876252,English descriptors,is-a,Search terms,,
32876252,PubCovid-19 platform,is-a,Database,suicide attempts,0.7484733462333679
32876252,United States National Library of Medicine,is-a,Database,suicide attempts,0.7484733462333679
32876252,Excerpta Medica,is-a,Database,suicide attempts,0.7484733462333679
32876252,COVID-19,is-a,Pandemic,,
22475120,Parasitic infestation,is-a,common health problem in developing countries,,
22475120,Children,are-a,vulnerable group to parasitic infestations,,
22475120,Malnutrition,is-a,health problem resulting from parasitic infestations,'risk of vector borne disease',0.7364820837974548
22475120,Iron-deficiency anemia,is-a,health problem resulting from parasitic infestations,'risk of vector borne disease',0.7364820837974548
22475120,Surgical morbidities,are-a,health problem resulting from parasitic infestations,'risk of vector borne disease',0.7364820837974548
22475120,Impaired cognitive function,is-a,health problem resulting from parasitic infestations,'risk of vector borne disease',0.7364820837974548
22475120,Impaired educational achievement,is-a,health problem resulting from parasitic infestations,'risk of vector borne disease',0.7364820837974548
22475120,Surgical intervention,is-a,treatment for serious complications caused by parasitic infestations,'risk of vector borne disease',0.7536482810974121
22475120,Amoebic colitis,is-a,condition caused by protozoan infections,'risk of vector borne disease',0.7295262217521667
22475120,Liver abscess,is-a,condition caused by protozoan infections,'risk of vector borne disease',0.7295262217521667
22475120,Intestinal obstruction,is-a,condition caused by Ascaris lumbricoides,,
35903894,Psychological Effects,is-a,Result of COVID-19,,
35903894,PubMed database,is-a,Source of Studies,,
35903894,Anxiety,is-a,Psychological Effect,psychological effect,0.9999998211860657
35903894,Depression,is-a,Psychological Effect,psychological effect,0.9999998211860657
35903894,Stress,is-a,Psychological Effect,psychological effect,0.9999998211860657
35903894,Urban Living,is-a,Protective Factor,protective factor,1.0
35903894,Economic Stability,is-a,Protective Factor,protective factor,1.0
35903894,Living with Parents,is-a,Protective Factor,protective factor,1.0
35903894,COVID-19 infection in family,is-a,Risk Factor,psychological factor,0.8338807821273804
34118735,SARS-CoV-2,is-a,novel virus,protective factor,0.748619794845581
34118735,SARS-CoV-2,is-a,cause of global health crisis,mental health problem,0.7485608458518982
34118735,Antiviral drug,is-a,potential solution for SARS-CoV-2,,
34118735,Drug repurposing,is-a,strategy for combating SARS-CoV-2,,
34118735,Co-infections,is-a,threat in the context of SARS-CoV-2,,
34118735,Proteins encoded by the SARS-CoV-2 genome,are-a,potential target for drug discovery,,
34118735,COVID-19,is-a,disease caused by SARS-CoV-2,'risk of vector borne disease',0.7266720533370972
34118735,Review,is-a,source of information about SARS-CoV-2,,
35895432,Yemen,is-a,Country,,
35895432,Yemeni people,is-a,Population,suicide attempts,0.7283983826637268
35895432,COVID-19 pandemic,is-a,Global health crisis,mental health problem,0.7293065786361694
35895432,Famine,is-a,Humanitarian crisis,psychological distress,0.7327566742897034
35895432,Inflated currency,is-a,Economic instability,nutritional deficiency,0.7382210493087769
35895432,Child marriages,is-a,Social issue,social policy,0.8427919745445251
35895432,Humanitarian assistance,is-a,Aid,suicide attempts,0.7025942802429199
35895432,Severe food scarcity,is-a,Crisis,suicide attempts,0.7213238477706909
35895432,Global and local governments,is-a,Decision-makers,service professionals,0.7698028087615967
35239676,Economic security,is-a,economic aspect of life,amount of workload,0.7090885639190674
35239676,Financial stability,is-a,aspect of economic security,social policy,0.8011256456375122
35239676,Improved living standards,is-a,aspect of economic security,social policy,0.8011256456375122
35239676,Economic affordability of food,is-a,indicator of economic security,,
35239676,Expenditures on food,is-a,indicator of economic affordability of food,,
35239676,GDP per capita,is-a,indicator of economic security,,
35239676,Income level,is-a,indicator of economic security,,
35239676,Economic protection,is-a,aspect of economic security,social policy,0.8011256456375122
35239676,Economic instability,is-a,challenge to economic security,social policy,0.7155849933624268
35239676,Low level of economic affordability of food,is-a,challenge to economic security,social policy,0.7155849933624268
33716899,COVID-19,is-a,Health crisis,mental health problem,0.8263556957244873
33716899,Lockdown,is-a,Response to COVID-19,,
33716899,Economic slowdown,is-a,Impact of COVID-19,,
33716899,Financial stability,is-a,Economic indicator,psychological factor,0.7705258727073669
33716899,ARDL model,is-a,Statistical tool,psychological factor,0.772968590259552
33716899,Spillover impact,is-a,Global economic effect,factor influencing health,0.7476574182510376
33716899,Financial instability,is-a,Economic condition,social policy,0.7259031534194946
33716899,Economic cycle,is-a,Economic condition,social policy,0.7259031534194946
33716899,Smart lockdown,is-a,COVID-19 policy strategy,,
33716899,Lockdown checklist,is-a,Smart lockdown strategy,,
33716899,Lockdown tasks,is-a,Smart lockdown strategy,,
33716899,Close-down stock take or count,is-a,Smart lockdown strategy,,
35953877,Climate change,is-a,existential crisis,psychological distress,0.7053101062774658
35953877,Greenhouse gas levels,is-a,factor of climate change,factor influencing health,0.7371635437011719
35953877,Global mean surface temperature,is-a,indicator of climate change,,
35953877,Extreme weather events,is-a,result of climate change,,
35953877,Deterioration of food,water and air quality,"is-a, result of climate change",,
35953877,Economic and political instability,is-a,result of climate change,,
35953877,Mass population migration,is-a,result of climate change,,
35953877,Decreased food security,is-a,result of climate change,,
35953877,Increase in vector-borne infectious disease,is-a,result of climate change,,
35953877,Healthcare resources,is-a,requirement for climate change mitigation,,
35953877,Climate change,is-a,determinant of humanity's survival,,
35953877,Pregnant persons,is-a,vulnerable group to climate change,,
35953877,Women,is-a,adversely affected group by climate change,,
33150501,Type 2 Diabetes,is a,Chronic Disease,nutritional deficiency,0.7828270792961121
33150501,Insurance Coverage,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Economic Instability,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Employment,is a,Aspect of Economic Instability,history of domestic violence,0.75269615650177
33150501,Out-of-pocket expenses,is a,Aspect of Economic Instability,history of domestic violence,0.75269615650177
33150501,Food Insecurity,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Education and Literacy,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Access to Quality Health Care,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Health systems designed to effectively manage chronic disease,is a,Aspect of Quality Health Care,mental health issue,0.7613248825073242
33150501,Neighborhood and the built environment,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Housing,is a,Aspect of Neighborhood and Built Environment,,
33150501,Social and Community Context,is a,Social Determinant of Health,factor influencing health,0.7891273498535156
33150501,Discrimination,is a,Aspect of Social and Community Context,social policy,0.726144015789032
38026276,Adverse economic events,is-a,economic instability,nutritional deficiency,0.7382210493087769
38026276,Unexpected medical expenses,is-a,adverse economic events,domestic violence,0.7110046744346619
38026276,Job loss,is-a,adverse economic events,domestic violence,0.7110046744346619
38026276,Pay reduction,is-a,adverse economic events,domestic violence,0.7110046744346619
38026276,Death of a family member,is-a,adverse economic events,domestic violence,0.7110046744346619
38026276,Increased debt,is-a,adverse economic events,domestic violence,0.7110046744346619
38026276,Moderate hunger,is-a,hunger level,nutritional deficiency,0.795698344707489
38026276,Severe hunger,is-a,hunger level,nutritional deficiency,0.795698344707489
38026276,Household Hunger Scale,is-a,assessment tool,psychological factor,0.7922333478927612
38026276,Cross-sectional survey,is-a,research method,suicide attempts,0.7729818820953369
38026276,Food pantry users,is-a,study participants,suicide attempts,0.7512989044189453
33456417,Financial behaviors,is-a,determinant of financial stability,,
33456417,Financial behaviors,is-a,determinant of health outcomes,factor influencing health,0.7759517431259155
33456417,Hope theory,is-a,framework for behavior change,,
33456417,Financial education and coaching program,is-a,means of promoting hope,,
33456417,Finances First,is-a,randomized controlled trial,,
36593824,Exchange rate volatility,is-a,economic factor,psychological factor,0.8068011403083801
36593824,Economic growth,is-a,economic factor,psychological factor,0.8068011403083801
36593824,Financial development,is-a,economic factor,psychological factor,0.8068011403083801
36593824,Government spending,is-a,economic factor,psychological factor,0.8068011403083801
36593824,Economic openness,is-a,economic factor,psychological factor,0.8068011403083801
36593824,Investment,is-a,economic factor,psychological factor,0.8068011403083801
37243096,SARS-CoV-2,is-a,viral pathogen,nutritional deficiency,0.7439481616020203
37243096,Viral pathogen,is-a,threat to human health,'risk of vector borne disease',0.7037222981452942
37243096,Antiviral therapeutics,is-a,method against viral pathogens,'risk of vector borne disease',0.7321659326553345
37243096,Vaccination programs,is-a,method against viral pathogens,'risk of vector borne disease',0.7321659326553345
37243096,Traditional vaccines,is-a,method against viral pathogens,'risk of vector borne disease',0.7321659326553345
37243096,Bioprocessing,is-a,method for production of antiviral agents,,
37243096,Monoclonal antibodies,is-a,antiviral therapies,,
37243096,Cytokines,is-a,antiviral therapies,,
37243096,Novel strategies,is-a,solution for limitations of traditional vaccines,,
37243096,Changes in manufacturing and distribution,is-a,way to prevent future disease outbreaks,'risk of vector borne disease',0.7555278539657593
15311412,HIV/AIDS,is-a,pandemic,,
15311412,Sub-Saharan Africa,is-a,region,suicide attempts,0.7278002500534058
15311412,Voluntary counseling and testing,is-a,strategy,social policy,0.7744936347007751
15311412,Behavior modifications,is-a,strategy,social policy,0.7744936347007751
15311412,Antiretroviral availability,is-a,strategy,social policy,0.7744936347007751
15311412,Non-governmental organizations,is-a,strategy,social policy,0.7744936347007751
15311412,Women of child-bearing age,is-a,population,suicide attempts,0.7283983826637268
15311412,Children,is-a,population,suicide attempts,0.7283983826637268
15311412,The elderly,is-a,population,suicide attempts,0.7283983826637268
15311412,Malawi,is-a,southern African country,,
15311412,Uganda,is-a,country,,
15311412,HIV/AIDS,is-a,disease,suicide attempts,0.7879545092582703
37560103,Unemployment,is-a,Economic instability,nutritional deficiency,0.7382210493087769
37560103,Violence,is-a,Social issue,social policy,0.8427919745445251
37560103,Poverty,is-a,Economic issue,social policy,0.8161924481391907
37560103,HIV/AIDS,is-a,Health issue,mental health issue,0.8684024810791016
37560103,Orphanhood,is-a,Social issue,social policy,0.8427919745445251
37560103,Resilience,is-a,Psychological process,psychological effect,0.8716750144958496
37560103,Psychologists,is-a,Service professionals,service professionals,0.9999999403953552
37560103,School counselors,is-a,Service professionals,service professionals,0.9999999403953552
37560103,Social workers,is-a,Service professionals,service professionals,0.9999999403953552
37560103,Teachers,is-a,Service professionals,service professionals,0.9999999403953552
25749487,Mother,is-a,Employed Person,service professionals,0.7542017698287964
25749487,Union Dissolution,is-a,Marital status change,suicide attempts,0.7663081884384155
25749487,Divorce,is-a,Marital status change,suicide attempts,0.7663081884384155
25749487,Cohabitation dissolution,is-a,Marital status change,suicide attempts,0.7663081884384155
