PMID,Child Concept,Relationship,Parent Concept,Similar Concepts,Similarities,Most Similar Concept
25843351,Toxins,has impact on,human health,"united states dept. of health and human services, United States Dept. of Health and Human Services, Department of Health and Human Services, National Institute of Child Health and Human Development (U.S.), National Institute of Child Health and Human Development, United States Dept. of Health and Human Services, Department of Health and Human Services (USA), United States Dept. of Health and Human Services, United States Dept. of Health and Human Services, United States Dept. of Health and Human Services, Amerikaans Department of Health, Education, and Welfare, United States Dept. of Health and Human Services, United States Department of Health and Human Services, United States Dept. of Health and Human Services, United States Dept. of Health and Human Services, World Health Organization 2007 Human immunodeficiency virus infection clinical stage 3, World Health Organization 2007 Human immunodeficiency virus infection clinical stage 4, World Health Organization 2007 Human immunodeficiency virus infection clinical stage 2, World Health Organization 2007 Human immunodeficiency virus infection clinical stage 1, Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with malaria, Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with tuberculosis, Human immunodeficiency virus World Health Organization 2007 stage 4 co-occurrent with malaria, Human immunodeficiency virus World Health Organization 2007 stage 3 co-occurrent with tuberculosis, Human immunodeficiency virus World Health Organization 2007 stage 2 co-occurrent with malaria, Human immunodeficiency virus World Health Organization 2007 stage 1 co-occurrent with tuberculosis","0.8432098426415845, 0.8432098426415845, 0.8246169124257252, 0.8688916844498108, 0.8802030465171428, 0.8432098426415845, 0.8774331363115646, 0.8432098426415845, 0.8432098426415845, 0.8432098426415845, 0.876421319944322, 0.89235031514984, 0.881856520150553, 0.8432098426415845, 0.8228304839944702, 0.8432098426415845, 0.8432098426415845, 0.8453448556976864, 0.8428716855434193, 0.846694895052027, 0.8296599736895607, 0.8463122425334837, 0.8261427383968646, 0.8483041782083647, 0.8257058432945659, 0.846272412315478, 0.8256122387436111",Education
35379518,Education,is-a,Social Determinants of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
12283640,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
31242086,Education,is-a,Social Determinants of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
31789121,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
32406047,Education,is-a,Social Determinants of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, social determinants of health significantly limiting diagnosis or treatment, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Counseling for social determinant of health risk, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9999999895919076, 0.9145038971341557, 0.9099084196881976, 0.877056099995079, 0.9099084196881976, 0.877056099995079, 0.8347328448954254, 0.898175186411588, 0.898175186411588, 0.8142496818741656, 0.8037074137262162, 0.8047812940377234, 0.8743751724331312, 0.8579686883399678, 0.8691221010915874, 0.8294325258279347, 0.7815524917320777, 0.9037896028809331, 0.8030488020936529, 0.7953914461984481, 0.8210299436087192, 0.8226689054219376, 0.8463439219560681, 0.7803762699842617, 0.8480381248515766",Social Determinants of Health
12285111,Education,is-a,Social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
33519152,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
28060469,Education,is-a,social determinant of health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
36849680,Education,is-a,Social Determinant of Health,"Social Determinants of Health, social determinants of health, Social Determinants of Health, Counseling for social determinant of health risk, Social Determinants of Health, social determinants of health questionnaires, Social determinants of health score, Social determinants of health panel, Social determinants of health score, Social determinants of health panel, Social determinants of health set, Social Determinants of Health screening report, Social Determinants of Health screening report, social determinants of health significantly limiting diagnosis or treatment, Social determinants of health score:Score:Pt:^Patient:Qn:R-Outcomes, Social Determinants of Health screening report:Find:Pt:^Patient:Doc, Social determinants of health panel:-:Pt:^Patient:-:R-Outcomes, Expresses desire to enhance knowledge of current determinants of health on social and physical environments, Determine personal context and social-cultural history of individual, family, or community health behavior, Determine whether the elder patient and their caretakers have a functional social support network to assist the patient in performing activities of daily living and in obtaining health care, transportation, therapy, medications, community resource information, financial advice, and assistance with personal problems","0.9921053259382795, 0.9921053259382795, 0.9921053259382795, 0.8778170055628359, 0.9921053259382795, 0.9153023012906701, 0.9193515778466738, 0.8755099530303697, 0.9193515778466738, 0.8755099530303697, 0.8314759690652669, 0.8940479045677987, 0.8940479045677987, 0.8882926687877086, 0.8128389363700683, 0.8181787725367866, 0.8079730138971781, 0.8588078445287044, 0.8378932398597745, 0.7861918702234636, 0.9124934174116422, 0.8131482107095062, 0.8048171330597808, 0.8254392331708642, 0.8338596543413079, 0.8467222676461256, 0.7867935759166977, 0.8586536079785401",Social Determinants of Health
