0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
37421879,Training and reassurance,is-a,need for facilitators,,,,,'poor parenting',16.0
37421879,Health professionals,is-a,deliverers of SBE,,,,,'lower earning',14.0
37421879,Innovative and creative ways,is-a,method for delivering SBE,,,,,'lower earning',18.0
19077214,Shantou University Medical College,is-a,Medical Institution,,,,,'racial segreggation',14.0
19077214,Medical doctor,is-a,Medical Career,,,,,'cultural barriers',12.0
19077214,Medical teaching,is-a,Medical Career,,,,,'cultural barriers',12.0
19077214,Medical research,is-a,Medical Career,,,,,'cultural barriers',12.0
19077214,English language proficiency,is-a,Skill,,,,,'lower earning',14.0
19077214,Computer skills,is-a,Skill,,,,,'lower earning',14.0
19077214,Biomedical research,is-a,Academic Interest,,,,,'cultural barriers',15.0
19077214,Career aspirations,is-a,Personal characteristic,,,,,'cultural barriers',16.0
19077214,Family background,is-a,Social determinant of career interest,,,,,'cultural barriers',24.0
16036848,EMS educators,is-a,type of emergency medicine practitioners,,,,,'social-emotional skills training',29.0
16036848,EMS instructors,is-a,type of educators,,,,,'poor parenting',14.0
16036848,EMS administrators,is-a,type of oversight organizations,,,,,'racial segreggation',22.0
16036848,EMS practitioners,is-a,type of emergency medicine practitioners,,,,,'social-emotional skills training',29.0
37714655,Diversity,is-a,Principle,,,,,'poor parenting',12.0
37714655,Equity,is-a,Principle,,,,,'poor parenting',12.0
37714655,Inclusion,is-a,Principle,,,,,'poor parenting',12.0
37714655,Anti-racism,is-a,Principle,,,,,'poor parenting',12.0
37714655,Race,is-a,Social construct,,,,,'poor parenting',14.0
37714655,Precision medicine,is-a,Basis for deconstructing social constructs,,,,,'additional training at school',31.0
37714655,Pharmacogenomics,is-a,Basis for deconstructing social constructs,,,,,'additional training at school',31.0
37714655,Health education,is-a,"Platform for incorporating diversity, equity, inclusion, and anti-racism",,,,,'availability of financial aid',56.0
37714655,Pharmacogenomic-based perspective,is-a,Approach for health education,,,,,'racial segreggation',19.0
37714655,Clinical decisions,is-a,Outcome of using race in health education,,,,,'educational infrastructure',31.0
37714655,Less-than-optimal clinical decisions,is-a,Result of using race in health education,,,,,'educational infrastructure',28.0
23402324,Collaborative model,is-a,clinical education model,,,,,'racial segreggation',17.0
23402324,Peer learning,is-a,advantage of the collaborative model,,,,,'availability of financial aid',27.0
23402324,Reduced individual supervision,is-a,disadvantage of the collaborative model,,,,,'availability of financial aid',29.0
23402324,Allied health disciplines,is-a,field of implementation for the collaborative model,,,,,'social-emotional skills training',37.0
36150854,Flipped Classroom,is-a,educational environment,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36150854,Flipped Classroom,is-a,individual learning space,,,,,'vocational training',17.0
36150854,Systematic review,is-a,research method,,,,,'lower earning',14.0
36150854,Anatomy,is-a,academic subject,,,,,'lower earning',15.0
36150854,Self-confidence,is-a,personal trait,,,,,'vocational training',12.0
36150854,Academic achievement,is-a,educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36150854,Student interest,is-a,personal trait,,,,,'vocational training',12.0
36150854,Student satisfaction,is-a,educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36150854,Learning activity,is-a,educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36150854,Overall performance,is-a,educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
10604074,Years of schooling,is-a,aspect of education,,,,,'racial segreggation',15.0
10604074,Credential,is-a,aspect of education,,,,,'racial segreggation',15.0
10604074,College selectivity,is-a,aspect of education,,,,,'racial segreggation',15.0
10604074,Physical functioning,is-a,aspect of health,,,,,'lower earning',15.0
10604074,Perceived health,is-a,aspect of health,,,,,'lower earning',15.0
10604074,Work conditions,is-a,aspect of economic conditions,,,,,'vocational training',23.0
10604074,Economic conditions,is-a,social determinant of health,,,,,'racial segreggation',19.0
10604074,Social psychological resources,is-a,social determinant of health,,,,,'racial segreggation',19.0
10604074,Health lifestyle,is-a,social determinant of health,,,,,'racial segreggation',19.0
36820837,maieutic,is-a,question-asking method,,,,,'vocational training',18.0
36820837,maieutic,is-associated-with,Socratic dialogue,,,,,'vocational training',15.0
36820837,maieutic,is-used-in,professional medical ethics education,,,,,'racial segreggation',26.0
36820837,ethical sense,is-a,"concept in, professional medical ethics",,,,,'availability of financial aid',28.0
36820837,ethical sense,is-derived-from,pre-understandings of students,,,,,'educational infrastructure',23.0
36820837,teaching and learning by asking,is-a,"method in, professional medical ethics education",,,,,'social-emotional skills training',35.0
36820837,Common Sense,is-a,school of philosophy,,,,,'poor parenting',16.0
36820837,Common Sense,is-from,Scottish Enlightenment,,,,,'poor parenting',17.0
36820837,American pragmatic philosophers,were-influenced-by,Common Sense philosophy,,,,,'employment prospect',17.0
19342129,Written assignment feedback,is-a,form of feedback,,,,,'poor parenting',14.0
19342129,Quality feedback,is-a,form of feedback,,,,,'poor parenting',14.0
19342129,Constructive comments,is-a,type of feedback,,,,,'poor parenting',14.0
19342129,Students' current performance information,is-a,type of feedback,,,,,'poor parenting',14.0
19342129,Future learning enhancement,is-a,goal of feedback,,,,,'poor parenting',14.0
19342129,Theoretical frameworks,is-a,method for interpreting feedback,,,,,'poor parenting',23.0
36631219,Radiography program,is-a,Postsecondary education program,,,,,'alternative schooling',23.0
36631219,Joint Review Committee on Education in Radiologic Technology (JRCERT),is-a,Accreditation body,,,,,'lower earning',15.0
36631219,National Center for Education Statistics,is-a,National education data source,,,,,'additional training at school',20.0
36631219,Certificate in Radiography,is-a,Radiography qualification,,,,,'racial segreggation',17.0
36631219,Applied Associate of Science Degree in Radiography,is-a,Radiography qualification,,,,,'racial segreggation',17.0
36631219,Associate of Science Degree in Radiography,is-a,Radiography qualification,,,,,'racial segreggation',17.0
36631219,Bachelor of Science Degree in Radiography,is-a,Radiography qualification,,,,,'racial segreggation',17.0
28732525,Clinical placement,is-a,component of professional health training,,,,,'social-emotional skills training',24.0
28732525,Simulation activities,is-a,type of clinical placement,,,,,'vocational training',20.0
28732525,Occupational therapy,is-a,health profession,,,,,'poor parenting',14.0
32202963,Psychiatric nursing,is-a,Nursing speciality,,,,,'racial segreggation',15.0
32202963,Mental health,is-a,Aspect of health,,,,,'lower earning',15.0
32202963,Mental illness,is-a,Health condition,,,,,'lower earning',14.0
32202963,Addictions,is-a,Health condition,,,,,'lower earning',14.0
32202963,Therapeutic relationship,is-a,Approach in psychiatric nursing,,,,,'poor parenting',22.0
32202963,Holistic approach,is-a,Approach in psychiatric nursing,,,,,'poor parenting',22.0
32202963,Recovery orientation,is-a,Approach in psychiatric nursing,,,,,'poor parenting',22.0
32202963,Stigma reduction,is-a,Goal in psychiatric nursing,,,,,'poor parenting',20.0
32202963,Advocacy for change,is-a,Goal in psychiatric nursing,,,,,'poor parenting',20.0
32202963,Psychiatric nursing students,is-a,Role in health education,,,,,'racial segreggation',17.0
32202963,High quality care,is-a,Outcome of good nursing education,,,,,'racial segreggation',24.0
32202963,Compassionate care,is-a,Outcome of good nursing education,,,,,'racial segreggation',24.0
32202963,Safe care,is-a,Outcome of good nursing education,,,,,'racial segreggation',24.0
30702219,Neuroanatomy,is-a,"part of, anatomical curriculum",,,,,'vocational training',22.0
30702219,Neurophobia,is-a,"cause of, negative influence on the choice of neurology",,,,,'alternative schooling',40.0
30702219,3D teaching tools,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
30702219,Near peer teaching tool,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
30702219,Flipped classroom tool,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
30702219,Applied neuroanatomy elective course,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
30702219,Mobile augmented reality,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
30702219,Inquiry-based clinical case,is-a,"type of, educational strategies in neuroanatomy",,,,,'additional training at school',31.0
22228781,Interdisciplinary Population Health Project,is-a,educational initiative,0.6666666666666667,,'educational infrastructure',,'educational infrastructure',11.0
22228781,Nursing and health care students,is-a,group of students,,,,,'lower earning',14.0
22228781,Parsell and Bligh's Readiness of Health Care Students for Interprofessional Learning Scale,is-a,data collection tool,,,,,'poor parenting',16.0
22228781,One group pretest-posttest design,is-a,research design,,,,,'lower earning',13.0
22228781,Paired t tests and one-way analyses of variance,is-a,statistical methods,,,,,'cultural barriers',16.0
22228781,Inequalities imagination model,is-a,pedagogical model,,,,,'employment prospect',16.0
11559005,Self-directed learning readiness scale,is-a,instrument for measuring readiness,,,,,'lower earning',25.0
11559005,Delphi technique,is-a,method for assessing validity,,,,,'higher stress level',21.0
11559005,Principal components factor analysis,is-a,method for analyzing questionnaires,,,,,'educational infrastructure',24.0
11559005,Chronbach's coefficient alpha,is-a,method for measuring internal consistency,,,,,'high criminal activities',30.0
11559005,Nurse educators,is-a,professionals in adult education,,,,,'educational infrastructure',21.0
31744999,Educator's Portfolio,is a,tool for reflection on educational practice,,,,,'vocational training',31.0
31744999,Sensitizing session,is a,method for Educator's Portfolio preparation,,,,,'employment prospect',32.0
31744999,Semi-structured interviews,is a,method for data collection,,,,,'employment prospect',19.0
31744999,Qualitative content analysis,is a,method for data analysis,,,,,'poor parenting',18.0
31744999,Faculty development,is a,result of reflection on educational practice,,,,,'vocational training',32.0
31744999,Educational practice,is a,subject of reflection in Educator's Portfolio,,,,,'additional training at school',33.0
33184139,Surgical career progression,is-a,professional development outcome,,,,,'additional training at school',23.0
33184139,Core Surgical Training (CST) outcome,is-a,professional development outcome,,,,,'additional training at school',23.0
33184139,Membership of the Royal College of Surgeons or the Diploma in Otolaryngology-Head and Neck Surgery (MRCS/DO-HNS),is-a,professional qualification,,,,,'vocational training',16.0
33184139,Annual Review of Competence Progression (ARCP),is-a,professional assessment,,,,,'vocational training',16.0
12269512,This study,is-a,examination of occupational therapists' use and perceptions of written education materials,,,,,'inaccessible education due to thresholds of assistance programs',64.0
12269512,A random sample of 50 occupational therapists,is-a,participants of the study,,,,,'alternative schooling',20.0
12269512,Written materials,is-a,tool used by occupational therapists to reinforce verbal information,,,,,'additional training at school',50.0
12269512,Client education,is-a,core treatment modality for participants in this study,,,,,'additional training at school',40.0
33252596,VARK questionnaire,is-a,Learning style identification tool,,,,,'racial segreggation',23.0
33252596,Multiple Intelligences Questionnaire,is-a,Intelligence type identification tool,,,,,'additional training at school',26.0
33252596,Modified Peyton's four-step approach,is-a,Teaching method for cardiac auscultation,,,,,'high criminal activities',29.0
33252596,Kinesthetic style,is-a,Type of learning style,,,,,'lower earning',14.0
33252596,Visual-spatial intelligence,is-a,Type of intelligence,,,,,'poor parenting',14.0
33252596,Mathematical and logical intelligence,is-a,Type of intelligence,,,,,'poor parenting',14.0
33252596,Linguistic intelligence,is-a,Type of intelligence,,,,,'poor parenting',14.0
30051154,Patient educators,is-a,teaching strategy,,,,,'vocational training',14.0
30051154,Patient-centred care,is-a,principle of medical education,,,,,'racial segreggation',19.0
30051154,Pre-clerkship learners,is-a,medical students,,,,,'lower earning',14.0
30051154,Clinical trainees,is-a,medical students,,,,,'lower earning',14.0
30051154,Group interviews,is-a,research method,,,,,'lower earning',14.0
30051154,Thematic analysis,is-a,data analysis method,,,,,'cultural barriers',17.0
30051154,CanMEDS roles,is-a,competency framework,,,,,'vocational training',16.0
35618385,Coaching intervention,is-a,educational intervention,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
35618385,Educator beliefs and practices,is-a,determinant of children's development,,,,,'higher stress level',27.0
35618385,Teacher-child interactions,is-a,factor in education,,,,,'racial segreggation',13.0
35618385,Latent profile analysis,is-a,research method,,,,,'lower earning',14.0
35618385,Latent transition analysis,is-a,research method,,,,,'lower earning',14.0
4512353,Poverty,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Education,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Unemployment,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Access to Healthcare,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Housing Conditions,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Social Exclusion,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Food Insecurity,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Racial Discrimination,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
4512353,Gender Inequality,is-a,Social Determinant of Health,,,,,'racial segreggation',19.0
38185490,Experiential food education program,is-a,Education program,,,,,'vocational training',13.0
38185490,Focus groups,is-a,Qualitative research method,,,,,'alternative schooling',18.0
38185490,Inductive thematic analysis,is-a,Data analysis method,,,,,'cultural barriers',17.0
38185490,Washington DC,is-a,Geographic location,,,,,'racial segreggation',15.0
3908024,Computer-based techniques,is-a,meal planning method,,,,,'bullying at school',16.0
3908024,Computer-based techniques,is-a,diet education method,,,,,'alternative schooling',18.0
3908024,Diabetes diet counseling,is-a,health intervention,,,,,'poor parenting',14.0
3908024,Inner-city subjects with limited educational background,is-a,demographic group,,,,,'poor parenting',14.0
3908024,Diabetes mellitus,is-a,chronic disease,,,,,'lower earning',14.0
3908024,Computer-assisted instruction,is-a,education method,,,,,'vocational training',14.0
3908024,Interactive videodisc system,is-a,education tool,,,,,'vocational training',13.0
3908024,Diabetes education programs,is-a,health intervention,,,,,'poor parenting',14.0
22400415,Situation Awareness,is-a,Perception Concept,,,,,'vocational training',15.0
22400415,Situation Awareness,is-a,Comprehension Concept,,,,,'employment prospect',16.0
22400415,Situation Awareness,is-a,Projection Concept,,,,,'vocational training',15.0
22400415,Aviation Industry,has,Situation Awareness,,,,,'vocational training',14.0
22400415,Anesthesia,has,Situation Awareness,,,,,'vocational training',14.0
22400415,SRNAs,study,Situation Awareness,,,,,'vocational training',14.0
22400415,Cognition,is-a,Predictor of Situation Awareness,,,,,'racial segreggation',24.0
17131851,Pregnancy,is-a,special period in a woman's life,,,,,'racial segreggation',22.0
17131851,Birthing school,is-a,institution for preparing for parenting,,,,,'additional training at school',27.0
17131851,Birthing school classes,is-a,form of education,,,,,'racial segreggation',14.0
17131851,Study group,is-a,group of women who participated in birthing school classes,,,,,'additional training at school',43.0
17131851,Control group,is-a,group of women who did not participate in birthing school classes,,,,,'additional training at school',49.0
17131851,Questionnaire,is-a,research tool,,,,,'lower earning',13.0
9463643,Problem-based learning,is-a,pedagogical principle,,,,,'vocational training',15.0
9463643,Early patient contact,is-a,pedagogical principle,,,,,'vocational training',15.0
9463643,Integration between different subject areas,is-a,pedagogical principle,,,,,'vocational training',15.0
9463643,Elements of multiprofessional education,is-a,pedagogical principle,,,,,'vocational training',15.0
9463643,Development of communications skills,is-a,pedagogical principle,,,,,'vocational training',15.0
26056403,Self-testing,is-a,study method,,,,,'poor parenting',13.0
26056403,Online practice quizzes,is-a,form of self-testing,,,,,'poor parenting',14.0
26056403,Pathophysiology,is-a,subject for self-testing,,,,,'poor parenting',17.0
26056403,Examination scores,is-a,measure of academic performance,,,,,'alternative schooling',24.0
26056403,Number of practice quiz attempts,is-a,factor affecting examination scores,,,,,'racial segreggation',25.0
30873778,AHEC,is-a,pipeline program,,,,,'lower earning',14.0
30873778,Stellenbosch University Faculty of Medicine and Health Sciences SA AHEC,is-a,partnership program,,,,,'cultural barriers',16.0
30873778,Morehouse School of Medicine,is-a,partner in SA AHEC program,,,,,'alternative schooling',20.0
30873778,Health workers,is-a,shortage in WHO Africa Region,,,,,'vocational training',23.0
30873778,Discriminatory policies and practices,is-a,shared history of South Africa and the United States,,,,,'high risk of substance abuse',35.0
30873778,Under-represented groups in health professions,is-a,result of discriminatory policies and practices,,,,,'high criminal activities',33.0
30873778,Formative evaluation,is-a,method used to assess Stellenbosch AHEC Program,,,,,'additional training at school',37.0
30873778,Increased student maturity,motivation,"and academic success, is-a, strength of the AHEC program",,,,,'additional training at school',43.0
30873778,Limited time with students,is-a,challenge of the AHEC program,,,,,'bullying at school',21.0
30873778,Location of some sites,is-a,challenge of the AHEC program,,,,,'bullying at school',21.0
30873778,Educators' need for more engagement,is-a,challenge of the AHEC program,,,,,'bullying at school',21.0
34011051,Teaching resource,is-a,factor in clinical performance improvement,,,,,'racial segreggation',31.0
34011051,Admission and development criteria,is-a,component of education resources,,,,,'employment prospect',24.0
34011051,Educational budget and allocation of resources,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
34011051,Infrastructure,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
34011051,Clinical teaching bases,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
34011051,Books and information services,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
34011051,Educational experts,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
34011051,Educational exchanges,is-a,domain in teaching resource criteria,,,,,'educational infrastructure',26.0
26056404,Individualized teaching method,is-a,teaching method,,,,,'bullying at school',14.0
26056404,Pharmacy skills laboratory,is-a,laboratory,,,,,'lower earning',12.0
26056404,Communication skills,is-a,skills,,,,,'lower earning',14.0
26056404,Clinical competency,is-a,competency,,,,,'poor parenting',11.0
26056404,Clinical pharmacists,is-a,pharmacists,,,,,'lower earning',12.0
26056404,Accreditation Council for Pharmacy Education,is-a,accreditation council,,,,,'alternative schooling',17.0
26056404,Doctor of pharmacy program,is-a,pharmacy program,,,,,'poor parenting',14.0
26056404,Objective structured clinical examination,is-a,examination,,,,,'lower earning',13.0
26056404,Formative assessment,is-a,assessment,,,,,'lower earning',13.0
32431306,PharmD curriculum,is-a,Professional curriculum,,,,,'vocational training',14.0
32431306,Calibrated peer review system,is-a,Evaluation system,,,,,'vocational training',15.0
32431306,Pharmacy student,is-a,Student,,,,,'lower earning',13.0
32431306,Faculty members,is-a,Evaluators,,,,,'cultural barriers',14.0
32431306,Web-based calibrated peer review system,is-a,Digital tool,,,,,'bullying at school',14.0
31642706,Outcome-based education,is-a,Education method,,,,,'vocational training',14.0
31642706,Integrated teaching,is-a,Education method,,,,,'vocational training',14.0
31642706,Undergraduate medical program,is-a,Education program,,,,,'vocational training',13.0
31642706,Self-directed learning,is-a,Learning approach,,,,,'bullying at school',14.0
31642706,Deep approach,is-a,Learning approach,,,,,'bullying at school',14.0
36721283,Metaverse,is-a,Virtual-reality platform,,,,,'racial segreggation',18.0
36721283,Flipped learning,is-a,Educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36721283,E-learning,is-a,Educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
36721283,Cyber resilience,is-a,Aspect of cybersecurity,,,,,'poor parenting',18.0
36721283,Mental health,is-a,Aspect of health,,,,,'lower earning',15.0
36721283,Quantitative design,is-a,Research method,,,,,'lower earning',14.0
36721283,Survey,is-a,Data collection method,,,,,'racial segreggation',18.0
36721283,Questionnaire,is-a,Data collection tool,,,,,'poor parenting',16.0
36721283,Chinese educational institutions,is-a,Educational institution,0.6666666666666667,,'educational infrastructure',,'educational infrastructure',11.0
36721283,China's education and cybersecurity departments,is-a,Government department,,,,,'employment prospect',15.0
32921405,Surgical educator,is-a,type of medical professional,,,,,'employment prospect',20.0
32921405,Teaching style,is-a,method of instruction,,,,,'poor parenting',16.0
32921405,Learning preference,is-a,individual educational characteristic,,,,,'educational infrastructure',22.0
26062096,Low-income status,is-a,Socioeconomic factor,,,,,'vocational training',18.0
26062096,Minority status,is-a,Demographic factor,,,,,'poor parenting',15.0
26062096,Poor educational outcomes,is-a,Educational factor,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
26062096,Health benefits,is-a,Health outcome,,,,,'lower earning',14.0
26062096,Out-of-school-time academic programs,is-a,Educational intervention,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
26062096,Academic achievement,is-a,Educational outcome,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
26062096,Health equity,is-a,Health outcome,,,,,'lower earning',14.0
26062096,Reading-focused programs,is-a,Type of OSTA program,,,,,'employment prospect',16.0
26062096,Math-focused programs,is-a,Type of OSTA program,,,,,'employment prospect',16.0
26062096,General academic programs,is-a,Type of OSTA program,,,,,'employment prospect',16.0
26062096,Programs with minimal academic focus,is-a,Type of OSTA program,,,,,'employment prospect',16.0
21598149,ELDER Project,is-a,project to address needs of underserved older adults,,,,,'high risk of substance abuse',40.0
21598149,Worksite education,is-a,method used by ELDER Project,,,,,'employment prospect',20.0
21598149,Community health centers,is-a,location for implementation of ELDER Project,,,,,'employment prospect',33.0
21598149,Home health agencies,is-a,location for implementation of ELDER Project,,,,,'employment prospect',33.0
21598149,Long-term care facilities,is-a,location for implementation of ELDER Project,,,,,'employment prospect',33.0
21598149,Health Professional Shortage and Medically Underserved Area,is-a,location for implementation of ELDER Project,,,,,'employment prospect',33.0
21598149,Agency champion,is-a,individual appointed to sustain program after funding ended,,,,,'social-emotional skills training',44.0
21598149,Case-based simulation-learning approach,is-a,method used in final year of ELDER Project,,,,,'educational infrastructure',31.0
21598149,On-site education incorporating simulation,is-a,model for translating gerontological knowledge into practice,,,,,'social-emotional skills training',45.0
37163456,Virtual patients,is-a,computer-based program,,,,,'cultural barriers',17.0
37163456,Major trauma events,is-a,health crisis,,,,,'lower earning',12.0
37163456,Trauma team,is-a,group of medical professionals,,,,,'employment prospect',21.0
37163456,Assisted learning technologies,is-a,educational tool,0.6666666666666667,,'educational infrastructure',,'vocational training',11.0
37163456,Civil military trauma exercise,is-a,training method,0.6666666666666667,,'vocational training',,'bullying at school',14.0
19535180,Non-Medical Prescribing Student,is-a,Student,,,,,'lower earning',13.0
19535180,Designated Medical Practitioner,is-a,Medical Practitioner,,,,,'racial segreggation',14.0
19535180,Primary Care Setting,is-a,Health Care Setting,,,,,'poor parenting',12.0
19535180,Secondary/Tertiary Care Setting,is-a,Health Care Setting,,,,,'poor parenting',12.0
14566707,Health Information Technology Institute criteria,is-a,Evaluation method,,,,,'vocational training',15.0
14566707,MSN,is-a,Search engine,,,,,'lower earning',11.0
14566707,Google,is-a,Search engine,,,,,'lower earning',11.0
32577034,Student pharmacists,is-a,Pharmacy students,,,,,'poor parenting',14.0
32577034,International APPE,is-a,Pharmacy practice experience,,,,,'alternative schooling',21.0
32577034,Consortium of Universities for Global Health,is-a,Health organization,,,,,'racial segreggation',13.0
32577034,Low-to middle-income country,is-a,Country classification,,,,,'racial segreggation',17.0
32577034,High-income country,is-a,Country classification,,,,,'racial segreggation',17.0
28431420,Transesophageal echocardiography,is-a,monitor for patients undergoing surgery,,,,,'poor parenting',27.0
28431420,TEE,is-a,tool for evaluation of cardiovascular compromise,,,,,'availability of financial aid',36.0
28431420,TEE,is-a,challenging tool for anesthesiology residents and medical students to learn,,,,,'inaccessible education due to thresholds of assistance programs',58.0
28431420,Cardiac anatomy,is-a,critical component of learning to use and interpret TEE,,,,,'social-emotional skills training',42.0
28431420,Generative retrieval,is-a,method for learning cardiac anatomy,,,,,'lower earning',25.0
28431420,Standard practice,is-a,method for learning cardiac anatomy,,,,,'lower earning',25.0
28431420,Medical students and anesthesiology residents,is-a,group who can benefit from GR in learning TEE,,,,,'lower earning',33.0
32887661,Aggression,is-a,Clinical behavior,,,,,'cultural barriers',13.0
32887661,Acute care staff,is-a,Health care professionals,,,,,'alternative schooling',19.0
32887661,Simulation-based training,is-a,Aggression management training format,,,,,'vocational training',24.0
32887661,Randomised controlled trials,is-a,Study type,,,,,'lower earning',14.0
32887661,Non-randomised controlled trials,is-a,Study type,,,,,'lower earning',14.0
32887661,Quasi-experimental studies,is-a,Study type,,,,,'lower earning',14.0
32887661,Observational studies,is-a,Study type,,,,,'lower earning',14.0
32887661,De-escalation knowledge,is-a,Health care provider-related outcome,,,,,'additional training at school',28.0
32887661,De-escalation skills,is-a,Health care provider-related outcome,,,,,'additional training at school',28.0
32887661,De-escalation behavior,is-a,Health care provider-related outcome,,,,,'additional training at school',28.0
33580716,Geriatrics and palliative medicine specialists,is-a,healthcare professional,,,,,'cultural barriers',17.0
33580716,Health system leadership,is-a,leadership role,,,,,'lower earning',13.0
33580716,ISMMS trained leaders,is-a,leaders,,,,,'lower earning',11.0
33580716,Non-ISMMS trained leaders,is-a,leaders,,,,,'lower earning',11.0
33580716,Fellowship graduates,is-a,medical professionals,,,,,'racial segreggation',16.0
17935466,SEM,is-a,statistical technique,,,,,'vocational training',14.0
17935466,SEM,is-a,tool for multivariate data analysis,,,,,'poor parenting',26.0
17935466,SEM,is-a,method for measuring latent variables and their interrelationships,,,,,'social-emotional skills training',51.0
24118831,Online interprofessional education,is-a,educational method,0.6666666666666667,,'educational infrastructure',,'vocational training',12.0
